| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 308992279 || 19185112 || 7843 (49993) || 16 (960) || 32 (2872) || 712(760) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 309046366 || 19183522 || 7843 (49993) || 16 (960) || 32 (2872) || 712(760) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 308940525 || 19184397 || 7843 (49993) || 16 (960) || 32 (2872) || 712(760) || Checksum OK || [wiki:runs_11 Run 11]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 309011107 || 19184145 || 7843 (49993) || 16 (960) || 32 (2872) || 711(759) || Checksum OK || [wiki:runs_12 Run 12]
|20101017 || clix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 383521966 || 22940441 || 7843 (50073) || 16 (960) || 32 (2872) || 712(760) || Checksum OK || [wiki:runs_25 Run 25]
|20101103 || clix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 309240876 || 19184225 || 7843 (50073) || 16 (960) || 32 (2872) || 712(760) || Checksum OK || [wiki:runs_32 Run 32]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 54734876 || 3897382 || 3731 (36776) || 16 (956) || 32 (2872) || 632(688) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 54676483 || 3897209 || 3731 (36776) || 16 (956) || 32 (2872) || 632(688) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 54664690 || 3897541 || 3731 (36776) || 16 (956) || 32 (2872) || 632(688) || Checksum OK || [wiki:runs_11 Run 11]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 54737155 || 3897448 || 3731 (36776) || 16 (956) || 32 (2872) || 632(688) || Checksum OK || [wiki:runs_12 Run 12]
|20101017 || clix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 67172386 || 4612206 || 3731 (36824) || 16 (956) || 32 (2872) || 632(688) || Checksum OK || [wiki:runs_25 Run 25]
|20101103 || clix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 54927133 || 3898998 || 3731 (36824) || 16 (956) || 32 (2872) || 632(688) || Checksum OK || [wiki:runs_32 Run 32]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 43636702 || 3111445 || 3171 (34616) || 16 (956) || 32 (2872) || 656(712) || Checksum OK || [wiki:runs_9 Run 9]
