| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 164351914 || 11526334 || 39062 (81212) || 48 (992) || 16 (992) || 392(440) || Checksum OK || [wiki:runs_11 Run 11]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 164457874 || 11532032 || 39062 (81212) || 48 (992) || 16 (992) || 392(440) || Checksum OK || [wiki:runs_12 Run 12]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 164260674 || 11535106 || 39062 (81212) || 48 (992) || 16 (992) || 392(440) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 164376267 || 11536152 || 39062 (81212) || 48 (992) || 16 (992) || 392(440) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 7922983 || 503288 || 14093 (47138) || 48 (988) || 16 (988) || 456(512) || Checksum OK || [wiki:runs_11 Run 11]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 7889289 || 503527 || 14093 (47138) || 48 (988) || 16 (988) || 456(512) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 7911721 || 504083 || 14093 (47138) || 48 (988) || 16 (988) || 456(512) || Checksum OK || [wiki:runs_9 Run 9]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 7920612 || 504229 || 14093 (47138) || 48 (988) || 16 (988) || 456(512) || Checksum OK || [wiki:runs_12 Run 12]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 9614717 || 622790 || 15981 (47426) || 48 (988) || 16 (988) || 1112(1168) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 9591450 || 622830 || 15981 (47426) || 48 (988) || 16 (988) || 1112(1168) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 9700974 || 623121 || 15981 (47426) || 48 (988) || 16 (988) || 1112(1168) || Checksum OK || [wiki:runs_11 Run 11]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 9593914 || 623148 || 15981 (47426) || 48 (988) || 16 (988) || 1112(1168) || Checksum OK || [wiki:runs_12 Run 12]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 44356800 || 3089171 || 26313 (57814) || 48 (988) || 16 (988) || 912(968) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 44301587 || 3089595 || 26313 (57814) || 48 (988) || 16 (988) || 912(968) || Checksum OK || [wiki:runs_11 Run 11]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 44357674 || 3089701 || 26313 (57814) || 48 (988) || 16 (988) || 912(968) || Checksum OK || [wiki:runs_10 Run 10]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 44402552 || 3091609 || 26313 (57814) || 48 (988) || 16 (988) || 912(968) || Checksum OK || [wiki:runs_12 Run 12]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 9528367 || 622949 || 15773 (46923) || 48 (988) || 16 (988) || 1104(1160) || Checksum OK || [wiki:runs_10 Run 10]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 9543790 || 622989 || 15773 (46923) || 48 (988) || 16 (988) || 1104(1160) || Checksum OK || [wiki:runs_12 Run 12]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 9534740 || 623280 || 15773 (46923) || 48 (988) || 16 (988) || 1104(1160) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 9556973 || 623426 || 15773 (46923) || 48 (988) || 16 (988) || 1104(1160) || Checksum OK || [wiki:runs_11 Run 11]
