| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6091267 || 328178 || 6492 (28902) || 0 (388) || 0 (388) || 380(388) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6091649 || 328344 || 6492 (28902) || 0 (388) || 0 (388) || 380(388) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6092032 || 328244 || 6492 (28902) || 0 (388) || 0 (388) || 380(388) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6093977 || 327463 || 6492 (28902) || 0 (388) || 0 (388) || 380(388) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2359088 || 177455 || 3736 (19934) || 0 (384) || 0 (384) || 412(428) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2358223 || 177472 || 3736 (19934) || 0 (384) || 0 (384) || 412(428) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2359387 || 177522 || 3736 (19934) || 0 (384) || 0 (384) || 412(428) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2357425 || 177322 || 3736 (19934) || 0 (384) || 0 (384) || 412(428) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2220535 || 160780 || 4120 (20226) || 0 (384) || 0 (384) || 532(540) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2221034 || 160963 || 4120 (20226) || 0 (384) || 0 (384) || 532(540) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2220369 || 161013 || 4120 (20226) || 0 (384) || 0 (384) || 532(540) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2220003 || 160415 || 4120 (20226) || 0 (384) || 0 (384) || 532(540) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2355646 || 177106 || 5900 (22918) || 0 (384) || 0 (384) || 1088(1104) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2376959 || 177439 || 5900 (22918) || 0 (384) || 0 (384) || 1088(1104) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2377575 || 177721 || 5900 (22918) || 0 (384) || 0 (384) || 1088(1104) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2375929 || 177056 || 5900 (22918) || 0 (384) || 0 (384) || 1088(1104) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 2037377 || 153914 || 3828 (19538) || 0 (384) || 0 (384) || 500(516) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 2056745 || 153997 || 3828 (19538) || 0 (384) || 0 (384) || 500(516) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 2057427 || 154214 || 3828 (19538) || 0 (384) || 0 (384) || 500(516) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 2057294 || 153715 || 3828 (19538) || 0 (384) || 0 (384) || 500(516) || Checksum OK || [wiki:runs_20 Run 20]
