| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 5992498 || 224704 || 16236 (38646) || 0 (388) || 0 (388) || 580(588) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 5993229 || 224670 || 16236 (38646) || 0 (388) || 0 (388) || 580(588) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 5990254 || 224571 || 16236 (38646) || 0 (388) || 0 (388) || 580(588) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 5995058 || 224338 || 16236 (38646) || 0 (388) || 0 (388) || 580(588) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 1742549 || 88395 || 7124 (23322) || 0 (384) || 0 (384) || 740(756) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 1741519 || 88578 || 7124 (23322) || 0 (384) || 0 (384) || 740(756) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 1741652 || 88694 || 7124 (23322) || 0 (384) || 0 (384) || 740(756) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 1741037 || 88578 || 7124 (23322) || 0 (384) || 0 (384) || 740(756) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 1927835 || 102743 || 10972 (27078) || 0 (384) || 0 (384) || 2336(2344) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 1928583 || 102759 || 10972 (27078) || 0 (384) || 0 (384) || 2336(2344) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 1925158 || 102842 || 10972 (27078) || 0 (384) || 0 (384) || 2336(2344) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 1926804 || 103058 || 10972 (27078) || 0 (384) || 0 (384) || 2336(2344) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 1917694 || 103507 || 12112 (29130) || 0 (384) || 0 (384) || 2524(2540) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 1916264 || 103507 || 12112 (29130) || 0 (384) || 0 (384) || 2524(2540) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 1917062 || 103557 || 12112 (29130) || 0 (384) || 0 (384) || 2524(2540) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 1918326 || 103374 || 12112 (29130) || 0 (384) || 0 (384) || 2524(2540) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 1775400 || 98054 || 9088 (24798) || 0 (384) || 0 (384) || 1448(1464) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 1774735 || 97838 || 9088 (24798) || 0 (384) || 0 (384) || 1448(1464) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 1774586 || 97938 || 9088 (24798) || 0 (384) || 0 (384) || 1448(1464) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 1774519 || 98004 || 9088 (24798) || 0 (384) || 0 (384) || 1448(1464) || Checksum OK || [wiki:runs_20 Run 20]
