| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 921459844 || 57076601 || 3196 (25606) || 0 (388) || 32 (2860) || 616(624) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 921478347 || 57078081 || 3196 (25606) || 0 (388) || 32 (2860) || 616(624) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 921458530 || 57071281 || 3196 (25606) || 0 (388) || 32 (2860) || 616(624) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 921610217 || 57063351 || 3196 (25606) || 0 (388) || 32 (2860) || 616(624) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 921379861 || 57073110 || 3196 (25650) || 0 (388) || 32 (2860) || 616(624) || Checksum OK || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 921514806 || 57056086 || 3196 (25650) || 0 (388) || 32 (2860) || 616(624) || Checksum OK || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 375016792 || 23252058 || 1800 (17998) || 0 (384) || 32 (2860) || 648(664) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 375210273 || 23258791 || 1800 (17998) || 0 (384) || 32 (2860) || 648(664) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 374991488 || 23250462 || 1800 (17998) || 0 (384) || 32 (2860) || 648(664) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 375047398 || 23252024 || 1800 (17998) || 0 (384) || 32 (2860) || 648(664) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 375122427 || 23264659 || 1800 (18034) || 0 (384) || 32 (2860) || 648(664) || Checksum OK || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 375064505 || 23265823 || 1800 (18034) || 0 (384) || 32 (2860) || 648(664) || Checksum OK || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 355538593 || 22045049 || 1760 (17866) || 0 (384) || 32 (2860) || 652(660) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 355476149 || 22042157 || 1760 (17866) || 0 (384) || 32 (2860) || 652(660) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 355438793 || 22042223 || 1760 (17866) || 0 (384) || 32 (2860) || 652(660) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 355475201 || 22043620 || 1760 (17866) || 0 (384) || 32 (2860) || 652(660) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 355426856 || 22037103 || 1760 (17902) || 0 (384) || 32 (2860) || 652(660) || Checksum OK || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 355501003 || 22038615 || 1760 (17902) || 0 (384) || 32 (2860) || 652(660) || Checksum OK || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 350015452 || 21702026 || 2456 (19474) || 0 (384) || 32 (2856) || 844(860) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 349953790 || 21704237 || 2456 (19474) || 0 (384) || 32 (2856) || 844(860) || Checksum OK || [wiki:runs_18 Run 18]
