| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68693619 || 4721084 || 16312 (38722) || 0 (388) || 0 (388) || 496(504) || Checksum OK || [wiki:runs_20 Run 20]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68746387 || 4721966 || 16312 (38722) || 0 (388) || 0 (388) || 496(504) || Checksum OK || [wiki:runs_19 Run 19]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68691624 || 4722531 || 16312 (38722) || 0 (388) || 0 (388) || 496(504) || Checksum OK || [wiki:runs_18 Run 18]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68771141 || 4722913 || 16312 (38722) || 0 (388) || 0 (388) || 496(504) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 19324085 || 1342718 || 7764 (23962) || 4 (388) || 0 (388) || 544(560) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 19325681 || 1342768 || 7764 (23962) || 4 (388) || 0 (388) || 544(560) || Checksum OK || [wiki:runs_19 Run 19]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 19326047 || 1360823 || 7764 (23962) || 4 (388) || 0 (388) || 544(560) || Checksum OK || [wiki:runs_17 Run 17]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 19325299 || 1361072 || 7764 (23962) || 4 (388) || 0 (388) || 544(560) || Checksum OK || [wiki:runs_20 Run 20]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 19028260 || 1317964 || 8244 (24350) || 4 (388) || 0 (388) || 604(612) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 19033647 || 1335303 || 8244 (24350) || 4 (388) || 0 (388) || 604(612) || Checksum OK || [wiki:runs_20 Run 20]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 19034810 || 1335619 || 8244 (24350) || 4 (388) || 0 (388) || 604(612) || Checksum OK || [wiki:runs_18 Run 18]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 19034245 || 1336351 || 8244 (24350) || 4 (388) || 0 (388) || 604(612) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 23322099 || 1626440 || 12404 (29422) || 4 (388) || 0 (388) || 808(824) || Checksum OK || [wiki:runs_19 Run 19]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 23323778 || 1644578 || 12404 (29422) || 4 (388) || 0 (388) || 808(824) || Checksum OK || [wiki:runs_18 Run 18]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 23324958 || 1644811 || 12404 (29422) || 4 (388) || 0 (388) || 808(824) || Checksum OK || [wiki:runs_17 Run 17]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 23325424 || 1644961 || 12404 (29422) || 4 (388) || 0 (388) || 808(824) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 17163584 || 1192860 || 7464 (23174) || 4 (388) || 0 (388) || 540(556) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 17161755 || 1210832 || 7464 (23174) || 4 (388) || 0 (388) || 540(556) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 17159627 || 1211580 || 7464 (23174) || 4 (388) || 0 (388) || 540(556) || Checksum OK || [wiki:runs_20 Run 20]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 17161489 || 1211913 || 7464 (23174) || 4 (388) || 0 (388) || 540(556) || Checksum OK || [wiki:runs_18 Run 18]
