| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 25747636 || 1436733 || 32200 (54610) || 0 (388) || 0 (2828) || 760(768) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 25705841 || 1436832 || 32200 (54610) || 0 (388) || 0 (2828) || 760(768) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 25687554 || 1437231 || 32200 (54610) || 0 (388) || 0 (2828) || 760(768) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 25706739 || 1476699 || 32200 (54610) || 0 (388) || 0 (2828) || 760(768) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 26305837 || 1446608 || 32260 (54714) || 0 (388) || 0 (2828) || 760(768) || Checksum OK || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 26188747 || 1508436 || 32260 (54714) || 0 (388) || 0 (2828) || 760(768) || Checksum OK || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 10090594 || 704617 || 18280 (34478) || 0 (384) || 0 (2828) || 3068(3084) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 10089580 || 685831 || 18280 (34478) || 0 (384) || 0 (2828) || 3068(3084) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 10090278 || 685515 || 18280 (34478) || 0 (384) || 0 (2828) || 3068(3084) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 10089081 || 705731 || 18280 (34478) || 0 (384) || 0 (2828) || 3068(3084) || Checksum OK || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 10295048 || 715091 || 18840 (35074) || 0 (384) || 0 (2828) || 3140(3156) || Checksum OK || [wiki:runs_24 Run 24]
