| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68529181 || 6708021 || 4140 (26550) || 0 (388) || 32 (2860) || 656(664) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68529248 || 6702868 || 4140 (26550) || 0 (388) || 32 (2860) || 656(664) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68531209 || 6703217 || 4140 (26550) || 0 (388) || 32 (2860) || 656(664) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68586155 || 6702552 || 4140 (26550) || 0 (388) || 32 (2860) || 656(664) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68340321 || 6666426 || 4140 (26594) || 0 (388) || 32 (2860) || 656(664) || Checksum failed || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 68337644 || 6668687 || 4140 (26594) || 0 (388) || 32 (2860) || 656(664) || Checksum failed || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 31128185 || 3107495 || 2212 (18410) || 0 (384) || 32 (2860) || 588(604) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 31046589 || 3108410 || 2212 (18410) || 0 (384) || 32 (2860) || 588(604) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 31045725 || 3108958 || 2212 (18410) || 0 (384) || 32 (2860) || 588(604) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 31048035 || 3107612 || 2212 (18410) || 0 (384) || 32 (2860) || 588(604) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 31027105 || 3113231 || 2212 (18446) || 0 (384) || 32 (2860) || 588(604) || Checksum failed || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 31028867 || 3105583 || 2212 (18446) || 0 (384) || 32 (2860) || 588(604) || Checksum failed || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 31197228 || 3119764 || 2276 (18382) || 0 (384) || 32 (2860) || 632(640) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 31199606 || 3120446 || 2276 (18382) || 0 (384) || 32 (2860) || 632(640) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 31196646 || 3120064 || 2276 (18382) || 0 (384) || 32 (2860) || 632(640) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 31198625 || 3120247 || 2276 (18382) || 0 (384) || 32 (2860) || 632(640) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 31190445 || 3116373 || 2276 (18418) || 0 (384) || 32 (2860) || 632(640) || Checksum failed || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 31190661 || 3116656 || 2276 (18418) || 0 (384) || 32 (2860) || 632(640) || Checksum failed || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 27104818 || 2708528 || 4228 (21246) || 0 (384) || 32 (2856) || 912(928) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 27103156 || 2709210 || 4228 (21246) || 0 (384) || 32 (2856) || 912(928) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 27102058 || 2709459 || 4228 (21246) || 0 (384) || 32 (2856) || 912(928) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 27104885 || 2708761 || 4228 (21246) || 0 (384) || 32 (2856) || 912(928) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 27309937 || 2728196 || 4228 (21282) || 0 (384) || 32 (2856) || 912(928) || Checksum failed || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 27309538 || 2729310 || 4228 (21282) || 0 (384) || 32 (2856) || 912(928) || Checksum failed || [wiki:runs_30 Run 30]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 36117696 || 3636287 || 2316 (18026) || 0 (384) || 32 (2860) || 612(628) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 36119076 || 3632346 || 2316 (18026) || 0 (384) || 32 (2860) || 612(628) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 36118527 || 3630435 || 2316 (18026) || 0 (384) || 32 (2860) || 612(628) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 36118976 || 3636004 || 2316 (18026) || 0 (384) || 32 (2860) || 612(628) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 35756601 || 3592480 || 2316 (18062) || 0 (384) || 32 (2860) || 612(628) || Checksum failed || [wiki:runs_24 Run 24]
|20101114 || clix || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 35758945 || 3600177 || 2316 (18062) || 0 (384) || 32 (2860) || 612(628) || Checksum failed || [wiki:runs_30 Run 30]
