| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 20051130 || 1318146 || 30660 (53070) || 320 (708) || 16 (2844) || 528(536) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 20049019 || 1317614 || 30660 (53070) || 320 (708) || 16 (2844) || 528(536) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 20049285 || 1318496 || 30660 (53070) || 320 (708) || 16 (2844) || 528(536) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 20091279 || 1334821 || 30660 (53070) || 320 (708) || 16 (2844) || 528(536) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 19994937 || 1318412 || 30660 (53114) || 320 (708) || 16 (2844) || 528(536) || Checksum failed || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5864170 || 270672 || 12480 (28678) || 324 (708) || 16 (2844) || 444(460) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5863106 || 270256 || 12480 (28678) || 324 (708) || 16 (2844) || 444(460) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5862407 || 270472 || 12480 (28678) || 324 (708) || 16 (2844) || 444(460) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5862058 || 270406 || 12480 (28678) || 324 (708) || 16 (2844) || 444(460) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5863937 || 270738 || 12556 (28790) || 324 (708) || 16 (2844) || 444(460) || Checksum failed || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5548029 || 249126 || 12640 (28746) || 324 (708) || 16 (2844) || 488(496) || Checksum failed || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5549292 || 248959 || 12640 (28746) || 324 (708) || 16 (2844) || 488(496) || Checksum failed || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5549076 || 249292 || 12640 (28746) || 324 (708) || 16 (2844) || 488(496) || Checksum failed || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5556807 || 249043 || 12640 (28746) || 324 (708) || 16 (2844) || 488(496) || Checksum failed || [wiki:runs_20 Run 20]
|20101017 || clix || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5563756 || 250306 || 12752 (28894) || 324 (708) || 16 (2844) || 496(504) || Checksum failed || [wiki:runs_24 Run 24]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 5033468 || 198469 || 18532 (35550) || 324 (708) || 16 (2840) || 696(712) || Checksum failed || [wiki:runs_17 Run 17]
