| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 11417285 || 617985 || 15692 (38102) || 0 (388) || 32 (388) || 940(948) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 11420427 || 618533 || 15692 (38102) || 0 (388) || 32 (388) || 940(948) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 11418466 || 618001 || 15692 (38102) || 0 (388) || 32 (388) || 940(948) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 11417169 || 617303 || 15692 (38102) || 0 (388) || 32 (388) || 940(948) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5263176 || 341378 || 13140 (29338) || 0 (384) || 32 (384) || 1216(1232) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5268330 || 341328 || 13140 (29338) || 0 (384) || 32 (384) || 1216(1232) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5265237 || 341411 || 13140 (29338) || 0 (384) || 32 (384) || 1216(1232) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 5265553 || 341062 || 13140 (29338) || 0 (384) || 32 (384) || 1216(1232) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5110641 || 343007 || 16132 (32238) || 0 (384) || 32 (384) || 1808(1816) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5108779 || 342891 || 16132 (32238) || 0 (384) || 32 (384) || 1808(1816) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5109062 || 342874 || 16132 (32238) || 0 (384) || 32 (384) || 1808(1816) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 5108530 || 343007 || 16132 (32238) || 0 (384) || 32 (384) || 1808(1816) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 5369094 || 350172 || 16600 (33618) || 0 (384) || 32 (384) || 1796(1812) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 5368578 || 350189 || 16600 (33618) || 0 (384) || 32 (384) || 1796(1812) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 5368479 || 350372 || 16600 (33618) || 0 (384) || 32 (384) || 1796(1812) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 5364821 || 349873 || 16600 (33618) || 0 (384) || 32 (384) || 1796(1812) || Checksum OK || [wiki:runs_20 Run 20]
|20100728 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 5426034 || 354029 || 10868 (26578) || 0 (384) || 32 (384) || 1224(1240) || Checksum OK || [wiki:runs_17 Run 17]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 5420265 || 354262 || 10868 (26578) || 0 (384) || 32 (384) || 1224(1240) || Checksum OK || [wiki:runs_18 Run 18]
|20100729 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 5420265 || 353930 || 10868 (26578) || 0 (384) || 32 (384) || 1224(1240) || Checksum OK || [wiki:runs_19 Run 19]
|20100730 || knulp || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 5426467 || 353980 || 10868 (26578) || 0 (384) || 32 (384) || 1224(1240) || Checksum OK || [wiki:runs_20 Run 20]
