| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 1957038 || 15224 || 0 (42230) || 0 (944) || 0 (2840) || 0(48) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 236301 || 14920 || 0 (33093) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 370192 || 14549 || 0 (31477) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 221924 || 14906 || 0 (31533) || 0 (940) || 0 (2836) || 0(56) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 718773 || 14853 || 0 (31182) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 10469289 || 971795 || 4990 (47220) || 60 (1004) || 0 (2840) || 280(328) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2284976 || 207283 || 3270 (36363) || 60 (1000) || 0 (2840) || 280(336) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 2064165 || 186958 || 3110 (34587) || 60 (1000) || 0 (2840) || 288(344) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 2399959 || 193450 || 8196 (39729) || 60 (1000) || 0 (2836) || 664(720) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2130560 || 188203 || 3046 (34228) || 60 (1000) || 0 (2840) || 280(336) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 5798227 || 650231 || 8516 (50746) || 44 (988) || 0 (2840) || 384(432) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2128732 || 139721 || 4764 (37857) || 44 (984) || 0 (2840) || 440(496) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1747543 || 154296 || 5004 (36481) || 44 (984) || 0 (2840) || 480(536) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1905933 || 151607 || 5601 (37134) || 44 (984) || 0 (2836) || 576(632) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2021605 || 145737 || 4684 (35866) || 44 (984) || 0 (2840) || 496(552) || Checksum OK
