| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 600023 || 599985 || 38 || 63
|0 || 600023 || 599985 || 38 || 63
|1 || 600023 || 599985 || 38 || 63
|1 || 600023 || 599985 || 38 || 63
|1 || 600023 || 599985 || 38 || 63
|2 || 600023 || 599985 || 38 || 63
|89 || 600023 || 599985 || 38 || 63
|413 || 600023 || 599985 || 38 || 63
|668 || 600023 || 599985 || 38 || 63
|1292 || 600023 || 599985 || 38 || 63
|1796 || 600023 || 599985 || 38 || 63
|2087 || 600023 || 599985 || 38 || 63
|2396 || 600023 || 599985 || 38 || 63
|2722 || 600023 || 599985 || 38 || 63
|2842 || 600023 || 599985 || 38 || 63
|2969 || 600023 || 599985 || 38 || 63
|3364 || 600023 || 599985 || 38 || 63
|3807 || 600023 || 599985 || 38 || 63
|3966 || 600023 || 599985 || 38 || 63
|4165 || 600023 || 599985 || 38 || 63
|4361 || 600023 || 599985 || 38 || 63
|4558 || 600023 || 599985 || 38 || 63
|4812 || 600023 || 599985 || 38 || 63
|4910 || 600023 || 599985 || 38 || 63
|5007 || 600023 || 599985 || 38 || 63
|5338 || 600023 || 599985 || 38 || 63
|5437 || 600023 || 599985 || 38 || 63
|5612 || 600023 || 599985 || 38 || 63
|5725 || 600023 || 599985 || 38 || 63
|5912 || 600023 || 599985 || 38 || 63
|6228 || 600023 || 599985 || 38 || 63
|6568 || 600023 || 599985 || 38 || 63
|6762 || 600023 || 599985 || 38 || 63
|6880 || 600023 || 599985 || 38 || 63
|7123 || 600023 || 599985 || 38 || 63
|7281 || 600023 || 599985 || 38 || 63
|7522 || 600023 || 599985 || 38 || 63
|7724 || 600023 || 599985 || 38 || 63
|7724 || 600023 || 599985 || 38 || 63
|7728 || 600023 || 599985 || 38 || 63
|7728 || 600023 || 599985 || 38 || 63
|7728 || 600023 || 599985 || 38 || 63
