| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_fritzbox-7170_0hash ->] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || 12468 || 12694 || 1572 || 197 || 25 || 12 || 6 || 0 || 2.8 || 0 || 0 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_10 Run 10]
|[wiki:r2011ciphers_sha256 <-] sha256 [wiki:r2011platformsciphers_fritzbox-7170_sha256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha256_sphlib-small sphlib-small] || 151832 || 45540 || 5903 || 808 || 161 || 115 || 91 || 68 || 1.7 || 9568 || 368 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_blake256 <-] blake256 [wiki:r2011platformsciphers_fritzbox-7170_blake256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_blake256_sphlib-small sphlib-small] || 155489 || 36636 || 4588 || 649 || 150 || 113 || 96 || 78 || 1.9 || 6083 || 568 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_keccakc512 <-] keccakc512 [wiki:r2011platformsciphers_fritzbox-7170_keccakc512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc512_simple32bi simple32bi] || 246503 || 58419 || 7374 || 925 || 218 || 175 || 153 || 132 || 1.6 || 8663 || 920 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_sha512 <-] sha512 [wiki:r2011platformsciphers_fritzbox-7170_sha512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha512_sphlib sphlib] || 247497 || 56418 || 7195 || 906 || 237 || 180 || 152 || 124 || 1.8 || 7984 || 1520 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_blake512 <-] blake512 [wiki:r2011platformsciphers_fritzbox-7170_blake512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_blake512_ref ref] || 262496 || 58154 || 7274 || 909 || 246 || 189 || 161 || 133 || 1.4 || 8390 || 1032 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_sha1 <-] sha1 [wiki:r2011platformsciphers_fritzbox-7170_sha1 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha1_avrcryptolib avrcryptolib] || 318941 || 36623 || 4623 || 755 || 255 || 220 || 203 || 185 || 2.2 || 4600 || 548 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_keccakc1024 <-] keccakc1024 [wiki:r2011platformsciphers_fritzbox-7170_keccakc1024 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc1024_simple32bi simple32bi] || 401104 || 57810 || 7326 || 920 || 338 || 280 || 251 || 222 || 2.3 || 8664 || 888 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_jh256 <-] jh256 [wiki:r2011platformsciphers_fritzbox-7170_jh256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_jh256_opt32 opt32] || 512391 || 51781 || 8944 || 1113 || 401 || 351 || 326 || 300 || 1.1 || 8577 || 452 || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_jh512 <-] jh512 [wiki:r2011platformsciphers_fritzbox-7170_jh512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_jh512_opt32 opt32] || 513292 || 51781 || 8992 || 1114 || 402 || 351 || 325 || 300 || 2.2 || 8577 || 484 || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_groestl256 <-] groestl256 [wiki:r2011platformsciphers_fritzbox-7170_groestl256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl256_sphlib-adapted sphlib-adapted] || 1506949 || 182585 || 22838 || 3747 || 1224 || 1041 || 952 || 863 || 1.5 || 44348 || 796 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_groestl512 <-] groestl512 [wiki:r2011platformsciphers_fritzbox-7170_groestl512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl512_sphlib-adapted sphlib-adapted] || 3207905 || 401674 || 49767 || 6168 || 2586 || 2244 || 2021 || 1799 || 0.7 || 69068 || 1780 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
