| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 390637 || 7192
|0 || 234989 || 7192
|0 || 257037 || 7192
|0 || 254798 || 7192
|0 || 233836 || 7192
|0 || 233134 || 7192
|0 || 257315 || 7192
|0 || 234525 || 7192
|1 || 234962 || 7192
|1 || 258680 || 7192
|1 || 235174 || 7192
|1 || 234989 || 7192
|1 || 272023 || 7192
|1 || 235492 || 7192
|1 || 234671 || 7192
|1 || 235612 || 7192
|2 || 234856 || 7192
|2 || 234869 || 7192
|2 || 257673 || 7192
|2 || 234936 || 7192
|2 || 234989 || 7192
|2 || 267266 || 7192
|2 || 234247 || 7192
|2 || 234856 || 7192
|4 || 253989 || 7192
|4 || 235572 || 7192
|4 || 235280 || 7192
|4 || 234472 || 7192
|4 || 235400 || 7192
|4 || 234936 || 7192
|4 || 234684 || 7192
|4 || 257368 || 7192
|8 || 235082 || 7192
|8 || 235294 || 7192
|8 || 234631 || 7192
|8 || 234923 || 7192
|8 || 235148 || 7192
|8 || 234684 || 7192
|8 || 234565 || 7192
|8 || 234843 || 7192
|16 || 234750 || 7192
|16 || 235135 || 7192
|16 || 235347 || 7192
|16 || 235307 || 7192
|16 || 234565 || 7192
|16 || 235029 || 7192
|16 || 235665 || 7192
|16 || 235347 || 7192
|32 || 235585 || 7192
|32 || 234869 || 7192
|32 || 234936 || 7192
|32 || 234379 || 7192
|32 || 234711 || 7192
|32 || 235280 || 7192
|32 || 257341 || 7192
|32 || 234936 || 7192
|64 || 266723 || 7192
|64 || 235585 || 7192
|64 || 236022 || 7192
|64 || 235545 || 7192
|64 || 235254 || 7192
|64 || 235121 || 7192
|64 || 235439 || 7192
|64 || 235187 || 7192
|128 || 235824 || 7192
|128 || 235585 || 7192
|128 || 236022 || 7192
|128 || 315032 || 7192
|128 || 235572 || 7192
|128 || 235347 || 7192
|128 || 235983 || 7192
|128 || 236022 || 7192
|256 || 236234 || 7192
|256 || 236486 || 7192
|256 || 236287 || 7192
|256 || 265530 || 7192
|256 || 236565 || 7192
|256 || 236314 || 7192
|256 || 236499 || 7192
|256 || 236261 || 7192
|512 || 260442 || 7192
|512 || 274143 || 7192
|512 || 259899 || 7192
|512 || 258269 || 7192
|512 || 237838 || 7192
|512 || 237705 || 7192
|512 || 238235 || 7192
|512 || 238129 || 7192
|576 || 478696 || 7192
|576 || 479199 || 7192
|576 || 477742 || 7192
|576 || 571989 || 7192
|576 || 476828 || 7192
|576 || 478285 || 7192
|576 || 500506 || 7192
|576 || 479001 || 7192
|1024 || 480710 || 7192
|1024 || 513199 || 7192
|1024 || 480405 || 7192
|1024 || 481161 || 7192
|1024 || 480697 || 7192
|1024 || 504110 || 7192
|1024 || 480683 || 7192
|1024 || 504534 || 7192
|1536 || 608162 || 7192
|1536 || 608122 || 7192
|1536 || 608374 || 7192
|1536 || 630992 || 7192
|1536 || 630674 || 7192
|1536 || 605472 || 7192
|1536 || 608122 || 7192
|1536 || 609010 || 7192
|2048 || 761107 || 7192
|2048 || 736607 || 7192
|2048 || 736766 || 7192
|2048 || 736276 || 7192
|2048 || 735203 || 7192
|2048 || 766963 || 7192
|2048 || 736117 || 7192
|2048 || 760418 || 7192
