| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 96738 || 1248
|0 || 66157 || 1248
|0 || 64395 || 1248
|0 || 65853 || 1248
|0 || 65614 || 1248
|0 || 65654 || 1248
|0 || 64991 || 1248
|0 || 65309 || 1248
|1 || 79328 || 1248
|1 || 80772 || 1248
|1 || 80679 || 1248
|1 || 80732 || 1248
|1 || 78718 || 1248
|1 || 80441 || 1248
|1 || 80308 || 1248
|1 || 80812 || 1248
|2 || 80878 || 1248
|2 || 80348 || 1248
|2 || 80772 || 1248
|2 || 80229 || 1248
|2 || 79474 || 1248
|2 || 81037 || 1248
|2 || 80361 || 1248
|2 || 80322 || 1248
|4 || 80613 || 1248
|4 || 80984 || 1248
|4 || 80918 || 1248
|4 || 78970 || 1248
|4 || 80653 || 1248
|4 || 81143 || 1248
|4 || 80785 || 1248
|4 || 81262 || 1248
|8 || 81395 || 1248
|8 || 81421 || 1248
|8 || 81355 || 1248
|8 || 80414 || 1248
|8 || 81249 || 1248
|8 || 81315 || 1248
|8 || 81289 || 1248
|8 || 80229 || 1248
|16 || 80997 || 1248
|16 || 81567 || 1248
|16 || 81249 || 1248
|16 || 79951 || 1248
|16 || 81170 || 1248
|16 || 81779 || 1248
|16 || 81421 || 1248
|16 || 79659 || 1248
|32 || 81461 || 1248
|32 || 81435 || 1248
|32 || 81435 || 1248
|32 || 81819 || 1248
|32 || 81872 || 1248
|32 || 81289 || 1248
|32 || 81620 || 1248
|32 || 80335 || 1248
|64 || 80997 || 1248
|64 || 81620 || 1248
|64 || 79884 || 1248
|64 || 81647 || 1248
|64 || 80573 || 1248
|64 || 81647 || 1248
|64 || 80176 || 1248
|64 || 81276 || 1248
|128 || 95559 || 1248
|128 || 95466 || 1248
|128 || 94300 || 1248
|128 || 95493 || 1248
|128 || 96116 || 1248
|128 || 95904 || 1248
|128 || 93943 || 1248
|128 || 95546 || 1248
|256 || 123437 || 1248
|256 || 122311 || 1248
|256 || 123636 || 1248
|256 || 122059 || 1248
|256 || 123569 || 1248
|256 || 121927 || 1248
|256 || 124563 || 1248
|256 || 123410 || 1248
|512 || 177484 || 1248
|512 || 179392 || 1248
|512 || 179286 || 1248
|512 || 179153 || 1248
|512 || 177630 || 1248
|512 || 179365 || 1248
|512 || 179842 || 1248
|512 || 179617 || 1248
|576 || 193304 || 1248
|576 || 193596 || 1248
|576 || 193079 || 1248
|576 || 191979 || 1248
|576 || 193450 || 1248
|576 || 193397 || 1248
|576 || 192894 || 1248
|576 || 191926 || 1248
|1024 || 291460 || 1248
|1024 || 290970 || 1248
|1024 || 289711 || 1248
|1024 || 291580 || 1248
|1024 || 291540 || 1248
|1024 || 290692 || 1248
|1024 || 289473 || 1248
|1024 || 291076 || 1248
|1536 || 403118 || 1248
|1536 || 403794 || 1248
|1536 || 403264 || 1248
|1536 || 403357 || 1248
|1536 || 401462 || 1248
|1536 || 403370 || 1248
|1536 || 402919 || 1248
|1536 || 403184 || 1248
|2048 || 514498 || 1248
|2048 || 514445 || 1248
|2048 || 513252 || 1248
|2048 || 514882 || 1248
|2048 || 515094 || 1248
|2048 || 513265 || 1248
|2048 || 515226 || 1248
|2048 || 514564 || 1248
