| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 224429 || 1704
|0 || 118468 || 1704
|0 || 118190 || 1704
|0 || 115924 || 1704
|0 || 117620 || 1704
|0 || 118150 || 1704
|0 || 118627 || 1704
|0 || 115593 || 1704
|1 || 118402 || 1704
|1 || 118932 || 1704
|1 || 115977 || 1704
|1 || 118349 || 1704
|1 || 118641 || 1704
|1 || 118230 || 1704
|1 || 115924 || 1704
|1 || 118150 || 1704
|2 || 118508 || 1704
|2 || 115381 || 1704
|2 || 118959 || 1704
|2 || 118296 || 1704
|2 || 118945 || 1704
|2 || 115275 || 1704
|2 || 118309 || 1704
|2 || 118429 || 1704
|4 || 115726 || 1704
|4 || 118336 || 1704
|4 || 118892 || 1704
|4 || 118296 || 1704
|4 || 115911 || 1704
|4 || 118508 || 1704
|4 || 118111 || 1704
|4 || 117607 || 1703
|8 || 118601 || 1704
|8 || 117740 || 1704
|8 || 117885 || 1704
|8 || 117077 || 1704
|8 || 118336 || 1704
|8 || 118800 || 1704
|8 || 118508 || 1704
|8 || 115792 || 1704
|16 || 118760 || 1704
|16 || 118760 || 1704
|16 || 116587 || 1704
|16 || 118667 || 1704
|16 || 118468 || 1704
|16 || 118508 || 1704
|16 || 115752 || 1704
|16 || 117514 || 1704
|32 || 118177 || 1704
|32 || 117991 || 1704
|32 || 118919 || 1704
|32 || 116799 || 1704
|32 || 119753 || 1704
|32 || 119422 || 1704
|32 || 119064 || 1704
|32 || 116507 || 1704
|64 || 183168 || 1704
|64 || 184361 || 1704
|64 || 181154 || 1704
|64 || 183897 || 1704
|64 || 183897 || 1704
|64 || 184414 || 1704
|64 || 183473 || 1704
|64 || 183950 || 1704
|128 || 247590 || 1704
|128 || 244317 || 1704
|128 || 246967 || 1704
|128 || 246768 || 1704
|128 || 247311 || 1704
|128 || 244913 || 1704
|128 || 247470 || 1704
|128 || 246953 || 1704
|256 || 371663 || 1704
|256 || 373491 || 1704
|256 || 373571 || 1704
|256 || 374392 || 1704
|256 || 371570 || 1704
|256 || 374008 || 1704
|256 || 374008 || 1704
|256 || 373637 || 1704
|512 || 627414 || 1704
|512 || 627467 || 1704
|512 || 627255 || 1704
|512 || 624287 || 1704
|512 || 626208 || 1704
|512 || 626526 || 1704
|512 || 624088 || 1704
|512 || 627242 || 1704
|576 || 690683 || 1704
|576 || 687914 || 1704
|576 || 690564 || 1704
|576 || 690550 || 1704
|576 || 691213 || 1704
|576 || 687662 || 1704
|576 || 690709 || 1704
|576 || 690829 || 1704
|1024 || 1134081 || 1704
|1024 || 1134372 || 1704
|1024 || 1134955 || 1704
|1024 || 1131537 || 1704
|1024 || 1134849 || 1704
|1024 || 1133683 || 1704
|1024 || 1133617 || 1704
|1024 || 1132186 || 1704
|1536 || 1641238 || 1704
|1536 || 1638469 || 1704
|1536 || 1641861 || 1704
|1536 || 1642099 || 1704
|1536 || 1638058 || 1704
|1536 || 1641463 || 1704
|1536 || 1640628 || 1704
|1536 || 1640695 || 1704
|2048 || 2166521 || 1704
|2048 || 2167780 || 1704
|2048 || 2168349 || 1704
|2048 || 2167912 || 1704
|2048 || 2167289 || 1704
|2048 || 2242775 || 1704
|2048 || 2167515 || 1704
|2048 || 2166229 || 1704
