| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 1137870 || 880
|0 || 25717 || 880
|0 || 25706 || 880
|0 || 26089 || 880
|0 || 26134 || 880
|0 || 25706 || 880
|0 || 25751 || 880
|0 || 25684 || 880
|1 || 25729 || 880
|1 || 26078 || 880
|1 || 25729 || 880
|1 || 26213 || 880
|1 || 26111 || 880
|1 || 26258 || 880
|1 || 25886 || 880
|1 || 25774 || 880
|2 || 26168 || 880
|2 || 26168 || 880
|2 || 25954 || 880
|2 || 26156 || 880
|2 || 25763 || 880
|2 || 26213 || 880
|2 || 25886 || 880
|2 || 26134 || 880
|4 || 25819 || 880
|4 || 26168 || 880
|4 || 25763 || 880
|4 || 25796 || 880
|4 || 26258 || 880
|4 || 25830 || 880
|4 || 25819 || 880
|4 || 25999 || 880
|8 || 26111 || 880
|8 || 25695 || 880
|8 || 26033 || 880
|8 || 26066 || 880
|8 || 26213 || 880
|8 || 26044 || 880
|8 || 25740 || 880
|8 || 25774 || 880
|16 || 26269 || 880
|16 || 26258 || 880
|16 || 26235 || 880
|16 || 25841 || 880
|16 || 26201 || 880
|16 || 26168 || 880
|16 || 26269 || 880
|16 || 25853 || 880
|32 || 26156 || 880
|32 || 26156 || 880
|32 || 26078 || 880
|32 || 25673 || 880
|32 || 25909 || 880
|32 || 25909 || 880
|32 || 26258 || 880
|32 || 26145 || 880
|64 || 29464 || 880
|64 || 29531 || 880
|64 || 29565 || 880
|64 || 29734 || 880
|64 || 30026 || 880
|64 || 29408 || 880
|64 || 29576 || 880
|64 || 29813 || 880
|128 || 33413 || 880
|128 || 33401 || 880
|128 || 33390 || 880
|128 || 33390 || 880
|128 || 33615 || 880
|128 || 56453 || 880
|128 || 33615 || 880
|128 || 33413 || 880
|256 || 40973 || 880
|256 || 40916 || 880
|256 || 40545 || 880
|256 || 40995 || 880
|256 || 40883 || 880
|256 || 40703 || 880
|256 || 40871 || 880
|256 || 40928 || 880
|512 || 55283 || 880
|512 || 55159 || 880
|512 || 55271 || 880
|512 || 55058 || 880
|512 || 55170 || 880
|512 || 55204 || 880
|512 || 54889 || 880
|512 || 55316 || 880
|576 || 58658 || 880
|576 || 58950 || 880
|576 || 58860 || 880
|576 || 58635 || 880
|576 || 58613 || 880
|576 || 58961 || 880
|576 || 58579 || 880
|576 || 59040 || 880
|1024 || 84071 || 880
|1024 || 84128 || 880
|1024 || 83565 || 880
|1024 || 84150 || 880
|1024 || 83531 || 880
|1024 || 83993 || 880
|1024 || 84071 || 880
|1024 || 83509 || 880
|1536 || 112601 || 880
|1536 || 112230 || 880
|1536 || 112140 || 880
|1536 || 112140 || 880
|1536 || 112691 || 880
|1536 || 112354 || 880
|1536 || 112545 || 880
|1536 || 112230 || 880
|2048 || 140625 || 880
|2048 || 141086 || 880
|2048 || 141075 || 880
|2048 || 141131 || 880
|2048 || 141165 || 880
|2048 || 141053 || 880
|2048 || 140940 || 880
|2048 || 140771 || 880
