| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 683100 || 248
|0 || 695880 || 248
|0 || 695070 || 248
|0 || 695059 || 248
|0 || 683111 || 248
|0 || 695745 || 248
|0 || 682988 || 248
|0 || 683044 || 248
|1 || 683010 || 248
|1 || 683224 || 248
|1 || 683089 || 248
|1 || 683089 || 248
|1 || 683111 || 248
|1 || 695070 || 248
|1 || 683213 || 248
|1 || 683269 || 248
|2 || 715613 || 248
|2 || 715624 || 248
|2 || 727706 || 248
|2 || 727740 || 248
|2 || 715725 || 248
|2 || 715680 || 248
|2 || 729135 || 248
|2 || 715534 || 248
|4 || 747878 || 248
|4 || 747900 || 248
|4 || 747911 || 248
|4 || 762401 || 248
|4 || 759994 || 248
|4 || 748024 || 248
|4 || 760016 || 248
|4 || 748069 || 248
|8 || 827123 || 248
|8 || 812745 || 248
|8 || 812723 || 248
|8 || 825379 || 248
|8 || 825548 || 248
|8 || 824884 || 248
|8 || 812745 || 248
|8 || 824906 || 248
|16 || 954450 || 248
|16 || 957465 || 248
|16 || 942525 || 248
|16 || 954968 || 248
|16 || 942435 || 248
|16 || 942548 || 248
|16 || 954608 || 248
|16 || 942548 || 248
|32 || 1216654 || 248
|32 || 1201590 || 248
|32 || 1214471 || 248
|32 || 1201916 || 248
|32 || 1216463 || 248
|32 || 1217295 || 248
|32 || 1201748 || 248
|32 || 1214888 || 248
|64 || 1734986 || 248
|64 || 1733017 || 248
|64 || 1732556 || 248
|64 || 1733276 || 248
|64 || 1732860 || 248
|64 || 1733130 || 248
|64 || 1733378 || 248
|64 || 1743716 || 248
|128 || 2763124 || 248
|128 || 2762978 || 248
|128 || 2763799 || 248
|128 || 2770065 || 248
|128 || 2762325 || 248
|128 || 2772900 || 248
|128 || 2774261 || 248
|128 || 2770313 || 248
|256 || 4851765 || 248
|256 || 4850066 || 248
|256 || 4849976 || 248
|256 || 4989353 || 248
|256 || 4845319 || 248
|256 || 4853790 || 248
|256 || 4850190 || 248
|256 || 4860810 || 248
|512 || 9005783 || 248
|512 || 9005996 || 248
|512 || 9005580 || 248
|512 || 9009698 || 248
|512 || 9005985 || 248
|512 || 8997041 || 248
|512 || 9005648 || 248
|512 || 9004298 || 248
|576 || 10045260 || 248
|576 || 10039759 || 248
|576 || 10041593 || 248
|576 || 10047634 || 248
|576 || 10041694 || 248
|576 || 10055835 || 248
|576 || 10049456 || 248
|576 || 10045598 || 248
|1024 || 17378145 || 248
|1024 || 17315224 || 248
|1024 || 17320106 || 248
|1024 || 17313593 || 248
|1024 || 17325911 || 248
|1024 || 17321884 || 248
|1024 || 17380834 || 248
|1024 || 17320703 || 248
|1536 || 25692863 || 248
|1536 || 25672950 || 248
|1536 || 25634745 || 248
|1536 || 25630695 || 248
|1536 || 25692829 || 248
|1536 || 25630684 || 248
|1536 || 25692874 || 248
|1536 || 25695169 || 248
|2048 || 33939124 || 248
|2048 || 33938944 || 248
|2048 || 34012530 || 248
|2048 || 33939338 || 248
|2048 || 33939889 || 248
|2048 || 33940181 || 248
|2048 || 33940463 || 248
|2048 || 38453963 || 248
