| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 122422 || 212
|0 || 19496 || 212
|0 || 19654 || 212
|0 || 19429 || 212
|0 || 19361 || 212
|0 || 19406 || 212
|0 || 19350 || 212
|0 || 19485 || 212
|1 || 38329 || 212
|1 || 19519 || 212
|1 || 19530 || 212
|1 || 19508 || 212
|1 || 19778 || 212
|1 || 19440 || 212
|1 || 19586 || 212
|1 || 19575 || 212
|2 || 38498 || 212
|2 || 19586 || 212
|2 || 19823 || 212
|2 || 19868 || 212
|2 || 19654 || 212
|2 || 19823 || 212
|2 || 19789 || 212
|2 || 19688 || 212
|4 || 39915 || 212
|4 || 20858 || 212
|4 || 39566 || 212
|4 || 20936 || 212
|4 || 20666 || 212
|4 || 20790 || 212
|4 || 20723 || 212
|4 || 20599 || 212
|8 || 22163 || 212
|8 || 22005 || 212
|8 || 21758 || 212
|8 || 22016 || 212
|8 || 21904 || 212
|8 || 21971 || 212
|8 || 21949 || 212
|8 || 22095 || 212
|16 || 24019 || 212
|16 || 24086 || 212
|16 || 23906 || 212
|16 || 24120 || 212
|16 || 24266 || 212
|16 || 24278 || 212
|16 || 24019 || 212
|16 || 24086 || 212
|32 || 28733 || 212
|32 || 28609 || 212
|32 || 28665 || 212
|32 || 28463 || 212
|32 || 28699 || 212
|32 || 28778 || 212
|32 || 28699 || 212
|32 || 28755 || 212
|64 || 37508 || 212
|64 || 37159 || 212
|64 || 37249 || 212
|64 || 37575 || 212
|64 || 37361 || 212
|64 || 37328 || 212
|64 || 37350 || 212
|64 || 50164 || 212
|128 || 54889 || 212
|128 || 54765 || 212
|128 || 54788 || 212
|128 || 54484 || 212
|128 || 54630 || 212
|128 || 55148 || 212
|128 || 54934 || 212
|128 || 54889 || 212
|256 || 89010 || 212
|256 || 89258 || 212
|256 || 88796 || 212
|256 || 89381 || 212
|256 || 89156 || 212
|256 || 101835 || 212
|256 || 89640 || 212
|256 || 89595 || 212
|512 || 155318 || 212
|512 || 155284 || 212
|512 || 155689 || 212
|512 || 155723 || 212
|512 || 156341 || 212
|512 || 155261 || 212
|512 || 156420 || 212
|512 || 155779 || 212
|576 || 171979 || 212
|576 || 171833 || 212
|576 || 171608 || 212
|576 || 186311 || 212
|576 || 172609 || 212
|576 || 172069 || 212
|576 || 172091 || 212
|576 || 171101 || 212
|1024 || 285795 || 212
|1024 || 284411 || 212
|1024 || 298316 || 212
|1024 || 284648 || 212
|1024 || 302445 || 212
|1024 || 300375 || 212
|1024 || 285154 || 212
|1024 || 283579 || 212
|1536 || 410670 || 212
|1536 || 431168 || 212
|1536 || 426780 || 212
|1536 || 410603 || 212
|1536 || 425194 || 212
|1536 || 412886 || 212
|1536 || 426668 || 212
|1536 || 427388 || 212
|2048 || 539370 || 212
|2048 || 540810 || 212
|2048 || 558416 || 212
|2048 || 555345 || 212
|2048 || 554816 || 212
|2048 || 538268 || 212
|2048 || 557584 || 212
|2048 || 552690 || 212
