| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 224618 || 768
|0 || 76365 || 768
|0 || 76320 || 768
|0 || 76196 || 768
|0 || 76253 || 768
|0 || 76331 || 768
|0 || 76500 || 768
|0 || 76196 || 768
|1 || 76568 || 768
|1 || 76208 || 768
|1 || 75240 || 768
|1 || 76466 || 768
|1 || 77276 || 768
|1 || 75803 || 768
|1 || 77175 || 768
|1 || 75915 || 768
|2 || 75971 || 768
|2 || 76354 || 768
|2 || 76264 || 768
|2 || 76095 || 768
|2 || 76219 || 768
|2 || 76489 || 768
|2 || 77186 || 768
|2 || 77355 || 768
|4 || 75555 || 768
|4 || 75566 || 768
|4 || 76264 || 768
|4 || 75893 || 768
|4 || 75353 || 768
|4 || 75353 || 768
|4 || 75848 || 768
|4 || 90135 || 768
|8 || 76523 || 768
|8 || 76500 || 768
|8 || 75038 || 768
|8 || 75589 || 768
|8 || 75555 || 768
|8 || 75443 || 768
|8 || 76106 || 768
|8 || 74610 || 768
|16 || 76410 || 768
|16 || 76208 || 768
|16 || 76433 || 768
|16 || 75893 || 768
|16 || 76151 || 768
|16 || 76748 || 768
|16 || 77378 || 768
|16 || 76523 || 768
|32 || 75578 || 768
|32 || 76219 || 768
|32 || 90270 || 768
|32 || 75634 || 768
|32 || 76073 || 768
|32 || 75836 || 768
|32 || 76759 || 768
|32 || 77839 || 768
|64 || 75893 || 768
|64 || 74948 || 768
|64 || 75589 || 768
|64 || 77288 || 768
|64 || 76793 || 768
|64 || 77535 || 768
|64 || 76433 || 768
|64 || 77074 || 768
|128 || 129656 || 768
|128 || 129398 || 768
|128 || 130151 || 768
|128 || 128970 || 768
|128 || 129499 || 768
|128 || 129578 || 768
|128 || 130219 || 768
|128 || 129915 || 768
|256 || 178076 || 768
|256 || 177581 || 768
|256 || 177548 || 768
|256 || 192364 || 768
|256 || 176828 || 768
|256 || 177323 || 768
|256 || 177660 || 768
|256 || 176749 || 768
|512 || 301478 || 768
|512 || 272858 || 768
|512 || 272644 || 768
|512 || 301961 || 768
|512 || 273825 || 768
|512 || 294716 || 768
|512 || 274230 || 768
|512 || 275006 || 768
|576 || 293265 || 768
|576 || 272419 || 768
|576 || 273038 || 768
|576 || 273431 || 768
|576 || 273668 || 768
|576 || 291735 || 768
|576 || 272183 || 768
|576 || 273690 || 768
|1024 || 470385 || 768
|1024 || 471083 || 768
|1024 || 469789 || 768
|1024 || 466526 || 768
|1024 || 466650 || 768
|1024 || 467561 || 768
|1024 || 500074 || 768
|1024 || 467246 || 768
|1536 || 665730 || 768
|1536 || 666056 || 768
|1536 || 667440 || 768
|1536 || 694901 || 768
|1536 || 692809 || 768
|1536 || 663446 || 768
|1536 || 664988 || 768
|1536 || 692078 || 768
|2048 || 901676 || 768
|2048 || 888615 || 768
|2048 || 864146 || 768
|2048 || 892474 || 768
|2048 || 891394 || 768
|2048 || 894656 || 768
|2048 || 861953 || 768
|2048 || 893126 || 768
