| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 549473 || 3380
|0 || 274412 || 3380
|0 || 295742 || 3380
|0 || 273215 || 3380
|0 || 273564 || 3380
|0 || 273249 || 3380
|0 || 273581 || 3380
|0 || 273648 || 3380
|1 || 394761 || 3380
|1 || 395060 || 3380
|1 || 416340 || 3380
|1 || 394894 || 3380
|1 || 395559 || 3380
|1 || 393929 || 3380
|1 || 395609 || 3380
|1 || 395226 || 3380
|2 || 395276 || 3380
|2 || 393913 || 3380
|2 || 394877 || 3380
|2 || 416024 || 3380
|2 || 394827 || 3380
|2 || 395559 || 3380
|2 || 395010 || 3380
|2 || 395293 || 3380
|4 || 396323 || 3380
|4 || 394029 || 3380
|4 || 394445 || 3380
|4 || 393830 || 3380
|4 || 394960 || 3380
|4 || 394129 || 3380
|4 || 394993 || 3380
|4 || 395742 || 3380
|8 || 395359 || 3380
|8 || 394661 || 3380
|8 || 395160 || 3380
|8 || 416722 || 3380
|8 || 394644 || 3380
|8 || 395043 || 3380
|8 || 394079 || 3380
|8 || 395891 || 3380
|16 || 396107 || 3380
|16 || 415143 || 3380
|16 || 395575 || 3380
|16 || 395492 || 3380
|16 || 394345 || 3380
|16 || 395343 || 3380
|16 || 394960 || 3380
|16 || 395525 || 3380
|32 || 394960 || 3380
|32 || 394594 || 3380
|32 || 394295 || 3380
|32 || 396124 || 3380
|32 || 416390 || 3380
|32 || 394628 || 3380
|32 || 393830 || 3380
|32 || 395010 || 3380
|64 || 418002 || 3380
|64 || 394561 || 3380
|64 || 395958 || 3380
|64 || 394611 || 3380
|64 || 411652 || 3380
|64 || 395077 || 3380
|64 || 395658 || 3380
|64 || 394545 || 3380
|128 || 396074 || 3436
|128 || 394279 || 3436
|128 || 394428 || 3436
|128 || 394927 || 3436
|128 || 394428 || 3436
|128 || 394628 || 3436
|128 || 394362 || 3436
|128 || 394079 || 3436
|256 || 514012 || 3436
|256 || 516539 || 3436
|256 || 516123 || 3436
|256 || 516522 || 3436
|256 || 515525 || 3436
|256 || 515874 || 3436
|256 || 537686 || 3436
|256 || 515508 || 3436
|512 || 784484 || 3436
|512 || 756620 || 3436
|512 || 757601 || 3436
|512 || 780993 || 3436
|512 || 756837 || 3436
|512 || 757402 || 3436
|512 || 781841 || 3436
|512 || 757518 || 3436
|576 || 878631 || 3436
|576 || 879163 || 3436
|576 || 902754 || 3436
|576 || 878881 || 3436
|576 || 902222 || 3436
|576 || 878515 || 3436
|576 || 901989 || 3436
|576 || 878066 || 3436
|1024 || 1240408 || 3436
|1024 || 1264381 || 3436
|1024 || 1239926 || 3436
|1024 || 1263168 || 3436
|1024 || 1240824 || 3436
|1024 || 1241688 || 3436
|1024 || 1264414 || 3436
|1024 || 1240707 || 3436
|1536 || 1745226 || 3436
|1536 || 1745110 || 3436
|1536 || 1745309 || 3436
|1536 || 1745010 || 3436
|1536 || 1744744 || 3436
|1536 || 1721469 || 3436
|1536 || 1722899 || 3436
|1536 || 1744544 || 3436
|2048 || 2228498 || 3436
|2048 || 2261698 || 3436
|2048 || 2203744 || 3436
|2048 || 2203378 || 3436
|2048 || 2226403 || 3436
|2048 || 2226753 || 3436
|2048 || 2227384 || 3436
|2048 || 2226819 || 3436
