| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 293859 || 888
|0 || 156536 || 888
|0 || 156602 || 888
|0 || 229265 || 888
|0 || 156695 || 888
|0 || 228828 || 888
|0 || 156363 || 888
|0 || 156509 || 888
|1 || 503500 || 888
|1 || 158815 || 888
|1 || 158907 || 888
|1 || 158748 || 888
|1 || 537977 || 888
|1 || 159504 || 888
|1 || 159424 || 888
|1 || 158682 || 888
|2 || 555559 || 888
|2 || 158854 || 888
|2 || 158099 || 888
|2 || 477080 || 888
|2 || 158894 || 888
|2 || 158841 || 888
|2 || 158682 || 888
|2 || 477610 || 888
|4 || 159676 || 888
|4 || 158669 || 888
|4 || 555281 || 888
|4 || 161504 || 888
|4 || 158854 || 888
|4 || 158682 || 888
|4 || 555255 || 888
|4 || 158788 || 888
|8 || 158894 || 888
|8 || 478073 || 888
|8 || 159133 || 888
|8 || 158974 || 888
|8 || 159742 || 888
|8 || 159225 || 888
|8 || 478484 || 888
|8 || 159146 || 888
|16 || 554685 || 888
|16 || 158947 || 888
|16 || 476801 || 888
|16 || 158921 || 888
|16 || 478338 || 888
|16 || 159596 || 888
|16 || 159292 || 888
|16 || 158828 || 888
|32 || 159583 || 888
|32 || 159358 || 888
|32 || 157543 || 888
|32 || 159517 || 888
|32 || 546205 || 888
|32 || 159159 || 888
|32 || 159623 || 888
|32 || 661453 || 888
|64 || 663852 || 888
|64 || 159424 || 888
|64 || 159133 || 888
|64 || 487825 || 888
|64 || 159623 || 888
|64 || 159265 || 888
|64 || 158841 || 888
|64 || 159305 || 888
|128 || 159451 || 888
|128 || 160007 || 888
|128 || 160060 || 888
|128 || 159875 || 888
|128 || 159742 || 888
|128 || 159384 || 888
|128 || 159941 || 888
|128 || 160259 || 888
|256 || 258203 || 912
|256 || 257196 || 912
|256 || 257911 || 912
|256 || 257554 || 912
|256 || 257328 || 912
|256 || 257991 || 912
|256 || 257381 || 912
|256 || 258031 || 912
|512 || 345441 || 912
|512 || 668449 || 912
|512 || 344288 || 912
|512 || 344116 || 912
|512 || 621359 || 912
|512 || 344063 || 912
|512 || 343745 || 912
|512 || 344474 || 912
|576 || 344474 || 912
|576 || 343679 || 912
|576 || 344301 || 912
|576 || 654378 || 912
|576 || 344434 || 912
|576 || 611408 || 912
|576 || 345308 || 912
|576 || 344633 || 912
|1024 || 516883 || 912
|1024 || 779140 || 912
|1024 || 781406 || 912
|1024 || 915178 || 912
|1024 || 515770 || 912
|1024 || 517108 || 912
|1024 || 516498 || 912
|1024 || 515717 || 912
|1536 || 951032 || 912
|1536 || 688987 || 912
|1536 || 688470 || 912
|1536 || 688324 || 912
|1536 || 688815 || 912
|1536 || 688536 || 912
|1536 || 1029300 || 912
|1536 || 1028677 || 912
|2048 || 1247382 || 912
|2048 || 1305297 || 912
|2048 || 1311273 || 912
|2048 || 945759 || 912
|2048 || 944977 || 912
|2048 || 945030 || 912
|2048 || 1302740 || 912
|2048 || 1336183 || 912
