| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 64435 || 592
|0 || 31191 || 592
|0 || 31442 || 592
|0 || 31363 || 592
|0 || 31522 || 592
|0 || 31111 || 592
|0 || 31151 || 592
|0 || 31191 || 592
|1 || 32131 || 592
|1 || 31946 || 592
|1 || 31774 || 592
|1 || 31880 || 592
|1 || 32184 || 592
|1 || 32198 || 592
|1 || 31747 || 592
|1 || 31959 || 592
|2 || 31853 || 592
|2 || 31999 || 592
|2 || 32118 || 592
|2 || 31972 || 592
|2 || 32065 || 592
|2 || 32039 || 592
|2 || 31919 || 592
|2 || 32078 || 592
|4 || 32436 || 592
|4 || 32105 || 592
|4 || 32317 || 592
|4 || 32290 || 592
|4 || 32423 || 592
|4 || 32357 || 592
|4 || 32304 || 592
|4 || 32198 || 592
|8 || 32767 || 592
|8 || 32873 || 592
|8 || 32701 || 592
|8 || 32489 || 592
|8 || 32807 || 592
|8 || 32847 || 592
|8 || 32714 || 592
|8 || 32860 || 592
|16 || 33655 || 592
|16 || 33576 || 592
|16 || 33536 || 592
|16 || 33748 || 592
|16 || 33642 || 592
|16 || 33549 || 592
|16 || 33708 || 592
|16 || 33602 || 592
|32 || 35351 || 592
|32 || 35378 || 592
|32 || 35060 || 592
|32 || 35537 || 592
|32 || 35311 || 592
|32 || 35378 || 592
|32 || 35351 || 592
|32 || 35391 || 592
|64 || 38876 || 592
|64 || 39127 || 592
|64 || 39247 || 592
|64 || 39088 || 592
|64 || 39154 || 592
|64 || 39167 || 592
|64 || 39339 || 592
|64 || 39074 || 592
|128 || 46468 || 592
|128 || 46229 || 592
|128 || 46362 || 592
|128 || 46150 || 592
|128 || 46163 || 592
|128 || 46269 || 592
|128 || 46203 || 592
|128 || 46057 || 592
|256 || 60102 || 592
|256 || 60473 || 592
|256 || 60500 || 592
|256 || 60447 || 592
|256 || 60261 || 592
|256 || 60314 || 592
|256 || 60380 || 592
|256 || 60447 || 592
|512 || 88921 || 592
|512 || 88828 || 592
|512 || 88272 || 592
|512 || 88934 || 592
|512 || 89000 || 592
|512 || 89067 || 592
|512 || 88947 || 592
|512 || 100051 || 592
|576 || 95811 || 592
|576 || 96049 || 592
|576 || 96169 || 592
|576 || 95731 || 592
|576 || 95970 || 592
|576 || 96208 || 592
|576 || 95890 || 592
|576 || 95957 || 592
|1024 || 145737 || 592
|1024 || 146002 || 592
|1024 || 145750 || 592
|1024 || 145777 || 592
|1024 || 145591 || 592
|1024 || 145671 || 592
|1024 || 145737 || 592
|1024 || 145724 || 592
|1536 || 202632 || 592
|1536 || 202725 || 592
|1536 || 202301 || 592
|1536 || 202646 || 592
|1536 || 202911 || 592
|1536 || 202778 || 592
|1536 || 202606 || 592
|1536 || 202646 || 592
|2048 || 259727 || 592
|2048 || 279641 || 592
|2048 || 280940 || 592
|2048 || 259713 || 592
|2048 || 274832 || 592
|2048 || 259713 || 592
|2048 || 259501 || 592
|2048 || 259766 || 592
