| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 3473307 || 505
|0 || 3473307 || 505
|0 || 3473308 || 505
|0 || 3473308 || 505
|0 || 3473308 || 505
|0 || 3473308 || 505
|0 || 3473308 || 505
|0 || 3473308 || 505
|1 || 3474496 || 505
|1 || 3474497 || 505
|1 || 3474497 || 505
|1 || 3474497 || 505
|1 || 3474497 || 505
|1 || 3474496 || 505
|1 || 3474496 || 505
|1 || 3474497 || 505
|2 || 3475130 || 505
|2 || 3475131 || 505
|2 || 3475131 || 505
|2 || 3475131 || 505
|2 || 3475131 || 505
|2 || 3475129 || 505
|2 || 3475130 || 505
|2 || 3475131 || 505
|4 || 3476343 || 505
|4 || 3476344 || 505
|4 || 3476344 || 505
|4 || 3476342 || 505
|4 || 3476344 || 505
|4 || 3476344 || 505
|4 || 3476343 || 505
|4 || 3476342 || 505
|8 || 3643676 || 524
|8 || 3643676 || 524
|8 || 3643675 || 524
|8 || 3643676 || 524
|8 || 3643676 || 524
|8 || 3643676 || 524
|8 || 3643675 || 524
|8 || 3643676 || 524
|16 || 3813435 || 524
|16 || 3813436 || 524
|16 || 3813434 || 524
|16 || 3813434 || 524
|16 || 3813435 || 524
|16 || 3813434 || 524
|16 || 3813435 || 524
|16 || 3813435 || 524
|32 || 4152951 || 524
|32 || 4152951 || 524
|32 || 4152951 || 524
|32 || 4152951 || 524
|32 || 4152951 || 524
|32 || 4152951 || 524
|32 || 4152951 || 524
|32 || 4152951 || 524
|64 || 4831891 || 524
|64 || 4831891 || 524
|64 || 4831891 || 524
|64 || 4831891 || 524
|64 || 4831892 || 524
|64 || 4831890 || 524
|64 || 4831890 || 524
|64 || 4831891 || 524
|128 || 6189769 || 524
|128 || 6189770 || 524
|128 || 6189769 || 524
|128 || 6189768 || 524
|128 || 6189769 || 524
|128 || 6189769 || 524
|128 || 6189770 || 524
|128 || 6189768 || 524
|256 || 8905527 || 524
|256 || 8905525 || 524
|256 || 8905527 || 524
|256 || 8905527 || 524
|256 || 8905526 || 524
|256 || 8905527 || 524
|256 || 8905527 || 524
|256 || 8905525 || 524
|512 || 14337041 || 524
|512 || 14337040 || 524
|512 || 14337041 || 524
|512 || 14337041 || 524
|512 || 14337040 || 524
|512 || 14337041 || 524
|512 || 14337040 || 524
|512 || 14337041 || 524
|576 || 15694920 || 524
|576 || 15694920 || 524
|576 || 15694920 || 524
|576 || 15694921 || 524
|576 || 15694921 || 524
|576 || 15694921 || 524
|576 || 15694921 || 524
|576 || 15694921 || 524
|1024 || 25200071 || 524
|1024 || 25200071 || 524
|1024 || 25200072 || 524
|1024 || 25200073 || 524
|1024 || 25200073 || 524
|1024 || 25200072 || 524
|1024 || 25200073 || 524
|1024 || 25200072 || 524
|1536 || 36063104 || 524
|1536 || 36063103 || 524
|1536 || 36063103 || 524
|1536 || 36063103 || 524
|1536 || 36063104 || 524
|1536 || 36063103 || 524
|1536 || 36063104 || 524
|1536 || 36063104 || 524
|2048 || 46926135 || 524
|2048 || 46926133 || 524
|2048 || 46926133 || 524
|2048 || 46926129 || 524
|2048 || 46926128 || 524
|2048 || 46926126 || 524
|2048 || 46926125 || 524
|2048 || 46926125 || 524
