| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 187024 || 2032
|0 || 79248 || 2032
|0 || 80534 || 2032
|0 || 80799 || 2032
|0 || 80931 || 2032
|0 || 79606 || 2032
|0 || 80878 || 2032
|0 || 80295 || 2032
|1 || 81223 || 2032
|1 || 80613 || 2032
|1 || 81355 || 2032
|1 || 81011 || 2032
|1 || 80560 || 2032
|1 || 79725 || 2032
|1 || 81130 || 2032
|1 || 81011 || 2032
|2 || 79977 || 2032
|2 || 81779 || 2032
|2 || 81024 || 2032
|2 || 81408 || 2032
|2 || 80057 || 2032
|2 || 81130 || 2032
|2 || 80799 || 2032
|2 || 81395 || 2032
|4 || 79778 || 2032
|4 || 81408 || 2032
|4 || 80573 || 2032
|4 || 81514 || 2031
|4 || 79633 || 2032
|4 || 80865 || 2032
|4 || 80931 || 2032
|4 || 81753 || 2032
|8 || 80308 || 2032
|8 || 81726 || 2032
|8 || 81461 || 2032
|8 || 81276 || 2032
|8 || 80481 || 2032
|8 || 81435 || 2032
|8 || 81289 || 2032
|8 || 81368 || 2032
|16 || 81289 || 2032
|16 || 81289 || 2032
|16 || 81329 || 2032
|16 || 80494 || 2032
|16 || 81236 || 2032
|16 || 81368 || 2032
|16 || 81832 || 2032
|16 || 80136 || 2032
|32 || 81342 || 2032
|32 || 81368 || 2032
|32 || 81329 || 2032
|32 || 80878 || 2032
|32 || 82097 || 2032
|32 || 81315 || 2032
|32 || 81978 || 2032
|32 || 80202 || 2032
|64 || 81713 || 2032
|64 || 81435 || 2032
|64 || 81792 || 2032
|64 || 80905 || 2032
|64 || 81249 || 2032
|64 || 80984 || 2032
|64 || 81806 || 2032
|64 || 80825 || 2032
|128 || 101058 || 2032
|128 || 101137 || 2032
|128 || 100369 || 2032
|128 || 100925 || 2032
|128 || 100766 || 2032
|128 || 101190 || 2032
|128 || 99600 || 2032
|128 || 101111 || 2032
|256 || 105868 || 2032
|256 || 105695 || 2032
|256 || 104967 || 2032
|256 || 105801 || 2032
|256 || 105417 || 2032
|256 || 105616 || 2032
|256 || 106795 || 2032
|256 || 105868 || 2032
|512 || 114414 || 2032
|512 || 114136 || 2032
|512 || 113857 || 2032
|512 || 113990 || 2032
|512 || 113910 || 2032
|512 || 113367 || 2032
|512 || 114467 || 2032
|512 || 114480 || 2032
|576 || 117024 || 2032
|576 || 117965 || 2032
|576 || 117316 || 2032
|576 || 118429 || 2032
|576 || 116282 || 2032
|576 || 117607 || 2032
|576 || 117673 || 2032
|576 || 116706 || 2032
|1024 || 132407 || 2032
|1024 || 132765 || 2032
|1024 || 132725 || 2032
|1024 || 132050 || 2032
|1024 || 132421 || 2032
|1024 || 132023 || 2032
|1024 || 131652 || 2032
|1024 || 132288 || 2032
|1536 || 149036 || 2032
|1536 || 148175 || 2032
|1536 || 148400 || 2032
|1536 || 150083 || 2032
|1536 || 148334 || 2032
|1536 || 150083 || 2032
|1536 || 149076 || 2032
|1536 || 147870 || 2032
|2048 || 257872 || 2032
|2048 || 265358 || 2032
|2048 || 265398 || 2032
|2048 || 265557 || 2032
|2048 || 266590 || 2032
|2048 || 268737 || 2032
|2048 || 267491 || 2032
|2048 || 167454 || 2032
