| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 18278 || 884
|0 || 18278 || 884
|0 || 18278 || 884
|0 || 18278 || 884
|0 || 18278 || 884
|0 || 18278 || 884
|0 || 18278 || 884
|0 || 18278 || 884
|1 || 19130 || 884
|1 || 19130 || 884
|1 || 19130 || 884
|1 || 19130 || 884
|1 || 19130 || 884
|1 || 19130 || 884
|1 || 19130 || 884
|1 || 19130 || 884
|2 || 19131 || 884
|2 || 19131 || 884
|2 || 19131 || 884
|2 || 19131 || 884
|2 || 19131 || 884
|2 || 19131 || 884
|2 || 19131 || 884
|2 || 19131 || 884
|4 || 18414 || 884
|4 || 18414 || 884
|4 || 18414 || 884
|4 || 18414 || 884
|4 || 18414 || 884
|4 || 18414 || 884
|4 || 18414 || 884
|4 || 18414 || 884
|8 || 18435 || 884
|8 || 18435 || 884
|8 || 18435 || 884
|8 || 18435 || 884
|8 || 18435 || 884
|8 || 18435 || 884
|8 || 18435 || 884
|8 || 18435 || 884
|16 || 18393 || 884
|16 || 18393 || 884
|16 || 18393 || 884
|16 || 18393 || 884
|16 || 18393 || 884
|16 || 18393 || 884
|16 || 18393 || 884
|16 || 18393 || 884
|32 || 18402 || 884
|32 || 18402 || 884
|32 || 18402 || 884
|32 || 18402 || 884
|32 || 18402 || 884
|32 || 18402 || 884
|32 || 18402 || 884
|32 || 18402 || 884
|64 || 18420 || 884
|64 || 18420 || 884
|64 || 18420 || 884
|64 || 18420 || 884
|64 || 18420 || 884
|64 || 18420 || 884
|64 || 18420 || 884
|64 || 18420 || 884
|128 || 18456 || 884
|128 || 18456 || 884
|128 || 18456 || 884
|128 || 18456 || 884
|128 || 18456 || 884
|128 || 18456 || 884
|128 || 18456 || 884
|128 || 18456 || 884
|256 || 33836 || 884
|256 || 33836 || 884
|256 || 33836 || 884
|256 || 33836 || 884
|256 || 33836 || 884
|256 || 33836 || 884
|256 || 33836 || 884
|256 || 33836 || 884
|512 || 63675 || 884
|512 || 63675 || 884
|512 || 63675 || 884
|512 || 63675 || 884
|512 || 63675 || 884
|512 || 63675 || 884
|512 || 63675 || 884
|512 || 63675 || 884
|576 || 78356 || 884
|576 || 78357 || 884
|576 || 78356 || 884
|576 || 78356 || 884
|576 || 78356 || 884
|576 || 78356 || 884
|576 || 78356 || 884
|576 || 78356 || 884
|1024 || 123333 || 884
|1024 || 123333 || 884
|1024 || 123333 || 884
|1024 || 123333 || 884
|1024 || 123333 || 884
|1024 || 123333 || 884
|1024 || 123333 || 884
|1024 || 123333 || 884
|1536 || 168202 || 884
|1536 || 168201 || 884
|1536 || 168202 || 884
|1536 || 168202 || 884
|1536 || 168201 || 884
|1536 || 168201 || 884
|1536 || 168202 || 884
|1536 || 168202 || 884
|2048 || 227881 || 884
|2048 || 227881 || 884
|2048 || 227881 || 884
|2048 || 227881 || 884
|2048 || 227881 || 884
|2048 || 227881 || 884
|2048 || 227881 || 884
|2048 || 227881 || 884
