| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 64339 || 652
|0 || 20081 || 652
|0 || 20216 || 652
|0 || 20171 || 652
|0 || 19969 || 652
|0 || 19991 || 652
|0 || 19868 || 652
|0 || 19868 || 652
|1 || 20093 || 652
|1 || 20093 || 652
|1 || 20261 || 652
|1 || 20003 || 652
|1 || 20081 || 652
|1 || 19901 || 652
|1 || 19384 || 652
|1 || 19440 || 652
|2 || 20025 || 652
|2 || 19991 || 652
|2 || 19935 || 652
|2 || 20295 || 652
|2 || 20036 || 652
|2 || 20059 || 652
|2 || 19935 || 652
|2 || 20070 || 652
|4 || 19935 || 652
|4 || 34808 || 652
|4 || 19969 || 652
|4 || 20239 || 652
|4 || 20036 || 652
|4 || 20036 || 652
|4 || 20025 || 652
|4 || 19946 || 652
|8 || 19958 || 652
|8 || 19463 || 652
|8 || 20048 || 652
|8 || 20183 || 652
|8 || 20194 || 652
|8 || 20228 || 652
|8 || 20115 || 652
|8 || 20149 || 652
|16 || 20340 || 652
|16 || 20025 || 652
|16 || 20183 || 652
|16 || 20160 || 652
|16 || 20261 || 652
|16 || 20104 || 652
|16 || 20183 || 652
|16 || 20126 || 652
|32 || 20059 || 652
|32 || 34999 || 652
|32 || 20025 || 652
|32 || 20104 || 652
|32 || 20093 || 652
|32 || 20059 || 652
|32 || 20025 || 652
|32 || 20081 || 652
|64 || 22905 || 652
|64 || 22860 || 652
|64 || 22995 || 652
|64 || 22894 || 652
|64 || 22343 || 652
|64 || 23254 || 652
|64 || 23186 || 652
|64 || 23006 || 652
|128 || 50389 || 652
|128 || 26044 || 652
|128 || 26618 || 652
|128 || 26145 || 652
|128 || 26145 || 652
|128 || 26100 || 652
|128 || 26089 || 652
|128 || 26730 || 652
|256 || 32108 || 652
|256 || 32141 || 652
|256 || 32085 || 652
|256 || 32040 || 652
|256 || 31984 || 652
|256 || 31849 || 652
|256 || 66589 || 652
|256 || 32524 || 652
|512 || 44483 || 652
|512 || 44764 || 652
|512 || 44449 || 652
|512 || 44494 || 652
|512 || 44393 || 652
|512 || 44415 || 652
|512 || 44573 || 652
|512 || 43785 || 652
|576 || 47115 || 652
|576 || 47565 || 652
|576 || 47081 || 652
|576 || 47149 || 652
|576 || 47149 || 652
|576 || 47396 || 652
|576 || 47633 || 652
|576 || 47126 || 652
|1024 || 67905 || 652
|1024 || 68704 || 652
|1024 || 68434 || 652
|1024 || 68198 || 652
|1024 || 67984 || 652
|1024 || 68243 || 652
|1024 || 68175 || 652
|1024 || 68220 || 652
|1536 || 92475 || 652
|1536 || 119093 || 652
|1536 || 92115 || 652
|1536 || 92093 || 652
|1536 || 92284 || 652
|1536 || 91924 || 652
|1536 || 92272 || 652
|1536 || 92284 || 652
|2048 || 116246 || 652
|2048 || 143854 || 652
|2048 || 116123 || 652
|2048 || 116134 || 652
|2048 || 116573 || 652
|2048 || 116145 || 652
|2048 || 116190 || 652
|2048 || 116078 || 652
