| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 13309 || 256
|0 || 13140 || 256
|0 || 13140 || 256
|0 || 13140 || 256
|0 || 13129 || 256
|0 || 13129 || 256
|0 || 13196 || 256
|0 || 13129 || 256
|1 || 13196 || 256
|1 || 13140 || 256
|1 || 13129 || 256
|1 || 13163 || 256
|1 || 13151 || 256
|1 || 13151 || 256
|1 || 13129 || 256
|1 || 13106 || 256
|2 || 13129 || 256
|2 || 13129 || 256
|2 || 13129 || 256
|2 || 13174 || 256
|2 || 13106 || 256
|2 || 13163 || 256
|2 || 13106 || 256
|2 || 13264 || 256
|4 || 13151 || 256
|4 || 13151 || 256
|4 || 13174 || 256
|4 || 13185 || 256
|4 || 15907 || 256
|4 || 13309 || 256
|4 || 13230 || 256
|4 || 13129 || 256
|8 || 13207 || 256
|8 || 13129 || 256
|8 || 13230 || 256
|8 || 13196 || 256
|8 || 13207 || 256
|8 || 13196 || 256
|8 || 13095 || 256
|8 || 13106 || 256
|16 || 13466 || 256
|16 || 13489 || 256
|16 || 13388 || 256
|16 || 13500 || 256
|16 || 13376 || 256
|16 || 13568 || 256
|16 || 13253 || 256
|16 || 13286 || 256
|32 || 16211 || 256
|32 || 16099 || 256
|32 || 16121 || 256
|32 || 16268 || 256
|32 || 16268 || 256
|32 || 16110 || 256
|32 || 16391 || 256
|32 || 16245 || 256
|64 || 19091 || 256
|64 || 19136 || 256
|64 || 19114 || 256
|64 || 19136 || 256
|64 || 19159 || 256
|64 || 19170 || 256
|64 || 19125 || 256
|64 || 19114 || 256
|128 || 25200 || 256
|128 || 25211 || 256
|128 || 25065 || 256
|128 || 25099 || 256
|128 || 25178 || 256
|128 || 25178 || 256
|128 || 25144 || 256
|128 || 25144 || 256
|256 || 37271 || 256
|256 || 37294 || 256
|256 || 37181 || 256
|256 || 37170 || 256
|256 || 37204 || 256
|256 || 37215 || 256
|256 || 37271 || 256
|256 || 37204 || 256
|512 || 61088 || 256
|512 || 61245 || 256
|512 || 61132 || 256
|512 || 61166 || 256
|512 || 61155 || 256
|512 || 61234 || 256
|512 || 61132 || 256
|512 || 61155 || 256
|576 || 67129 || 256
|576 || 67151 || 256
|576 || 67106 || 256
|576 || 67196 || 256
|576 || 67163 || 256
|576 || 67106 || 256
|576 || 67163 || 256
|576 || 67151 || 256
|1024 || 109204 || 256
|1024 || 109170 || 256
|1024 || 120724 || 256
|1024 || 109192 || 256
|1024 || 109192 || 256
|1024 || 124335 || 256
|1024 || 109294 || 256
|1024 || 109159 || 256
|1536 || 157129 || 256
|1536 || 157275 || 256
|1536 || 157151 || 256
|1536 || 157275 || 256
|1536 || 157084 || 256
|1536 || 157073 || 256
|1536 || 172249 || 256
|1536 || 157185 || 256
|2048 || 217316 || 256
|2048 || 205189 || 256
|2048 || 205211 || 256
|2048 || 205178 || 256
|2048 || 219161 || 256
|2048 || 216833 || 256
|2048 || 205223 || 256
|2048 || 205178 || 256
