| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 241549 || 3848
|0 || 151931 || 3848
|0 || 152100 || 3848
|0 || 151954 || 3848
|0 || 151684 || 3848
|0 || 151920 || 3848
|0 || 152528 || 3848
|0 || 152584 || 3848
|1 || 395764 || 3956
|1 || 421594 || 3956
|1 || 420075 || 3956
|1 || 395089 || 3956
|1 || 394909 || 3956
|1 || 394943 || 3956
|1 || 395449 || 3956
|1 || 418399 || 3956
|2 || 395528 || 3956
|2 || 422359 || 3956
|2 || 395190 || 3956
|2 || 395595 || 3956
|2 || 395539 || 3956
|2 || 395269 || 3956
|2 || 395550 || 3956
|2 || 395595 || 3956
|4 || 395494 || 3956
|4 || 395629 || 3956
|4 || 395190 || 3956
|4 || 395629 || 3956
|4 || 395561 || 3956
|4 || 430875 || 3956
|4 || 395370 || 3956
|4 || 395528 || 3956
|8 || 422460 || 3956
|8 || 394965 || 3956
|8 || 395123 || 3956
|8 || 395224 || 3956
|8 || 394886 || 3956
|8 || 421684 || 3955
|8 || 394673 || 3956
|8 || 394808 || 3956
|16 || 395955 || 3956
|16 || 395730 || 3956
|16 || 395876 || 3956
|16 || 395629 || 3956
|16 || 395089 || 3956
|16 || 422280 || 3956
|16 || 427624 || 3956
|16 || 395696 || 3956
|32 || 395843 || 3956
|32 || 396079 || 3956
|32 || 396022 || 3956
|32 || 436174 || 3956
|32 || 395820 || 3956
|32 || 395865 || 3956
|32 || 395426 || 3956
|32 || 395528 || 3956
|64 || 396529 || 3956
|64 || 436523 || 3956
|64 || 396416 || 3956
|64 || 425992 || 3956
|64 || 396709 || 3956
|64 || 396551 || 3956
|64 || 396574 || 3956
|64 || 396383 || 3956
|128 || 515149 || 3956
|128 || 514980 || 3956
|128 || 514789 || 3956
|128 || 514822 || 3956
|128 || 514856 || 3956
|128 || 514485 || 3956
|128 || 514553 || 3956
|128 || 514631 || 3956
|256 || 751759 || 3956
|256 || 751793 || 3956
|256 || 751511 || 3956
|256 || 787354 || 3956
|256 || 751590 || 3956
|256 || 784418 || 3956
|256 || 751714 || 3956
|256 || 786971 || 3956
|512 || 1264354 || 3956
|512 || 1225305 || 3956
|512 || 1265715 || 3956
|512 || 1260990 || 3956
|512 || 1260788 || 3956
|512 || 1225114 || 3956
|512 || 1260664 || 3956
|512 || 1258729 || 3956
|576 || 1373681 || 3956
|576 || 1378046 || 3956
|576 || 1343779 || 3956
|576 || 1363534 || 3956
|576 || 1379295 || 3956
|576 || 1342958 || 3956
|576 || 1382378 || 3956
|576 || 1381005 || 3956
|1024 || 2236286 || 3956
|1024 || 2205090 || 3956
|1024 || 2206283 || 3956
|1024 || 2280116 || 3956
|1024 || 2209399 || 3956
|1024 || 2208173 || 3956
|1024 || 2209905 || 3956
|1024 || 2208105 || 3956
|1536 || 3174379 || 3956
|1536 || 3185573 || 3956
|1536 || 3182591 || 3956
|1536 || 3250080 || 3956
|1536 || 3150990 || 3956
|1536 || 3250373 || 3956
|1536 || 3185325 || 3956
|1536 || 3153578 || 3956
|2048 || 4129819 || 3956
|2048 || 4135095 || 3956
|2048 || 4121224 || 3956
|2048 || 4134488 || 3956
|2048 || 4164761 || 3956
|2048 || 4164491 || 3956
|2048 || 4133216 || 3956
|2048 || 4120965 || 3956
