| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 244521 || 1084
|0 || 124189 || 1084
|0 || 123025 || 1084
|0 || 124571 || 1084
|0 || 123191 || 1084
|0 || 122942 || 1084
|0 || 122693 || 1084
|0 || 122826 || 1084
|1 || 122693 || 1084
|1 || 122776 || 1084
|1 || 144405 || 1084
|1 || 122693 || 1084
|1 || 122809 || 1084
|1 || 123125 || 1084
|1 || 123989 || 1084
|1 || 124571 || 1084
|2 || 124222 || 1084
|2 || 124621 || 1084
|2 || 122560 || 1084
|2 || 122726 || 1084
|2 || 122676 || 1084
|2 || 122643 || 1084
|2 || 123823 || 1084
|2 || 124455 || 1084
|4 || 124106 || 1084
|4 || 124222 || 1084
|4 || 124821 || 1084
|4 || 123939 || 1084
|4 || 122543 || 1084
|4 || 122842 || 1084
|4 || 122776 || 1084
|4 || 122842 || 1084
|8 || 122792 || 1084
|8 || 122792 || 1084
|8 || 124255 || 1084
|8 || 124638 || 1084
|8 || 124438 || 1084
|8 || 123008 || 1084
|8 || 124521 || 1084
|8 || 122826 || 1084
|16 || 122859 || 1084
|16 || 122992 || 1084
|16 || 143324 || 1084
|16 || 122759 || 1084
|16 || 122726 || 1084
|16 || 122776 || 1084
|16 || 146034 || 1084
|16 || 122792 || 1084
|32 || 122842 || 1084
|32 || 122626 || 1084
|32 || 122659 || 1084
|32 || 122693 || 1084
|32 || 122826 || 1084
|32 || 122693 || 1084
|32 || 122709 || 1084
|32 || 122809 || 1084
|64 || 145120 || 1084
|64 || 122959 || 1084
|64 || 122676 || 1084
|64 || 122826 || 1084
|64 || 122709 || 1084
|64 || 123075 || 1084
|64 || 122892 || 1084
|64 || 122909 || 1084
|128 || 168977 || 1096
|128 || 168794 || 1096
|128 || 169026 || 1096
|128 || 169010 || 1096
|128 || 169243 || 1096
|128 || 169076 || 1096
|128 || 169376 || 1096
|128 || 168977 || 1096
|256 || 215294 || 1096
|256 || 216507 || 1096
|256 || 215028 || 1096
|256 || 214745 || 1096
|256 || 215028 || 1096
|256 || 215028 || 1096
|256 || 216458 || 1096
|256 || 215277 || 1096
|512 || 306964 || 1096
|512 || 306914 || 1096
|512 || 307313 || 1096
|512 || 307330 || 1096
|512 || 307629 || 1096
|512 || 331852 || 1096
|512 || 306881 || 1096
|512 || 306898 || 1096
|576 || 307180 || 1096
|576 || 306914 || 1096
|576 || 306931 || 1096
|576 || 328726 || 1096
|576 || 307164 || 1096
|576 || 307114 || 1096
|576 || 308045 || 1096
|576 || 308527 || 1096
|1024 || 516123 || 1096
|1024 || 492416 || 1096
|1024 || 512067 || 1096
|1024 || 490521 || 1096
|1024 || 490421 || 1096
|1024 || 490953 || 1096
|1024 || 490837 || 1096
|1024 || 490221 || 1096
|1536 || 700212 || 1096
|1536 || 675524 || 1096
|1536 || 673795 || 1096
|1536 || 673994 || 1096
|1536 || 673778 || 1096
|1536 || 673761 || 1096
|1536 || 699547 || 1096
|1536 || 695307 || 1096
|2048 || 857667 || 1096
|2048 || 881474 || 1096
|2048 || 881640 || 1096
|2048 || 859047 || 1096
|2048 || 857368 || 1096
|2048 || 857567 || 1096
|2048 || 857651 || 1096
|2048 || 857684 || 1096
