| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 122178 || 640
|0 || 36888 || 552
|0 || 36623 || 552
|0 || 36491 || 552
|0 || 36027 || 552
|0 || 36583 || 552
|0 || 36040 || 552
|0 || 36862 || 552
|1 || 37127 || 552
|1 || 37392 || 552
|1 || 35987 || 552
|1 || 36332 || 552
|1 || 36994 || 552
|1 || 36968 || 552
|1 || 37193 || 552
|1 || 35788 || 552
|2 || 36822 || 552
|2 || 36888 || 552
|2 || 36530 || 552
|2 || 35616 || 552
|2 || 37259 || 552
|2 || 35590 || 552
|2 || 36689 || 552
|2 || 37153 || 552
|4 || 36928 || 552
|4 || 36968 || 552
|4 || 36848 || 552
|4 || 35682 || 552
|4 || 36544 || 552
|4 || 37498 || 552
|4 || 36305 || 552
|4 || 36093 || 552
|8 || 36981 || 552
|8 || 36822 || 552
|8 || 36795 || 552
|8 || 37855 || 552
|8 || 36067 || 552
|8 || 37431 || 552
|8 || 37166 || 552
|8 || 36610 || 552
|16 || 37286 || 552
|16 || 36358 || 552
|16 || 37060 || 552
|16 || 36782 || 552
|16 || 36252 || 552
|16 || 36994 || 552
|16 || 36385 || 552
|16 || 37180 || 552
|32 || 36636 || 552
|32 || 37259 || 552
|32 || 37299 || 552
|32 || 36756 || 552
|32 || 36954 || 552
|32 || 37193 || 552
|32 || 36888 || 552
|32 || 38014 || 552
|64 || 47144 || 552
|64 || 48111 || 552
|64 || 48363 || 552
|64 || 47806 || 552
|64 || 48376 || 552
|64 || 48734 || 552
|64 || 47462 || 552
|64 || 49131 || 552
|128 || 59029 || 552
|128 || 59797 || 552
|128 || 59506 || 552
|128 || 60592 || 552
|128 || 59718 || 552
|128 || 60062 || 552
|128 || 59479 || 552
|128 || 60791 || 552
|256 || 84045 || 552
|256 || 83488 || 552
|256 || 82746 || 552
|256 || 84919 || 552
|256 || 83661 || 552
|256 || 84469 || 552
|256 || 83025 || 552
|256 || 83886 || 552
|512 || 131056 || 552
|512 || 131122 || 552
|512 || 129744 || 552
|512 || 130261 || 552
|512 || 130751 || 552
|512 || 130605 || 552
|512 || 129903 || 552
|512 || 131308 || 552
|576 || 142756 || 552
|576 || 142491 || 552
|576 || 142279 || 552
|576 || 142332 || 552
|576 || 142159 || 552
|576 || 142411 || 552
|576 || 142159 || 552
|576 || 143153 || 552
|1024 || 225170 || 552
|1024 || 225767 || 552
|1024 || 224164 || 552
|1024 || 226164 || 552
|1024 || 225277 || 552
|1024 || 225263 || 552
|1024 || 224349 || 552
|1024 || 225714 || 552
|1536 || 320703 || 552
|1536 || 319113 || 552
|1536 || 319020 || 552
|1536 || 319405 || 552
|1536 || 320624 || 552
|1536 || 319537 || 552
|1536 || 319219 || 552
|1536 || 320372 || 552
|2048 || 413453 || 552
|2048 || 415109 || 552
|2048 || 415321 || 552
|2048 || 413347 || 552
|2048 || 414407 || 552
|2048 || 413334 || 552
|2048 || 415030 || 552
|2048 || 415202 || 552
