| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 41897 || 560
|0 || 34490 || 560
|0 || 35802 || 560
|0 || 34795 || 560
|0 || 35020 || 560
|0 || 33682 || 560
|0 || 34914 || 560
|0 || 34768 || 560
|1 || 34357 || 560
|1 || 35179 || 560
|1 || 35113 || 560
|1 || 35457 || 560
|1 || 34649 || 560
|1 || 35523 || 560
|1 || 34914 || 560
|1 || 35391 || 560
|2 || 34940 || 560
|2 || 35166 || 560
|2 || 35311 || 560
|2 || 34106 || 560
|2 || 34689 || 560
|2 || 34954 || 560
|2 || 35391 || 560
|2 || 34238 || 560
|4 || 35219 || 560
|4 || 35272 || 560
|4 || 34410 || 560
|4 || 35073 || 560
|4 || 34993 || 560
|4 || 35444 || 560
|4 || 33880 || 560
|4 || 35325 || 560
|8 || 35205 || 560
|8 || 34318 || 560
|8 || 35457 || 560
|8 || 35629 || 560
|8 || 35338 || 560
|8 || 34185 || 560
|8 || 35086 || 560
|8 || 34901 || 560
|16 || 34477 || 560
|16 || 34967 || 560
|16 || 35139 || 560
|16 || 35020 || 560
|16 || 34238 || 560
|16 || 35126 || 560
|16 || 35682 || 560
|16 || 35139 || 560
|32 || 34901 || 560
|32 || 35033 || 560
|32 || 35007 || 560
|32 || 34384 || 560
|32 || 35696 || 560
|32 || 35232 || 560
|32 || 35391 || 560
|32 || 34225 || 560
|64 || 38412 || 560
|64 || 37961 || 560
|64 || 37537 || 560
|64 || 37961 || 560
|64 || 38253 || 560
|64 || 38730 || 560
|64 || 38253 || 560
|64 || 38346 || 560
|128 || 42612 || 560
|128 || 41208 || 560
|128 || 42122 || 560
|128 || 42599 || 560
|128 || 42453 || 560
|128 || 41102 || 560
|128 || 42162 || 560
|128 || 42334 || 560
|256 || 49250 || 560
|256 || 50138 || 560
|256 || 49409 || 560
|256 || 49648 || 560
|256 || 48720 || 560
|256 || 49714 || 560
|256 || 49833 || 560
|256 || 49701 || 560
|512 || 64713 || 560
|512 || 64978 || 560
|512 || 64051 || 560
|512 || 64567 || 560
|512 || 65071 || 560
|512 || 64223 || 560
|512 || 63415 || 560
|512 || 64316 || 560
|576 || 68012 || 560
|576 || 67562 || 560
|576 || 68675 || 560
|576 || 68609 || 560
|576 || 68383 || 560
|576 || 67098 || 560
|576 || 68397 || 560
|576 || 68397 || 560
|1024 || 93678 || 560
|1024 || 94512 || 560
|1024 || 94420 || 560
|1024 || 93227 || 560
|1024 || 94446 || 560
|1024 || 94486 || 560
|1024 || 94300 || 560
|1024 || 93346 || 560
|1536 || 124590 || 560
|1536 || 122563 || 560
|1536 || 124232 || 560
|1536 || 124298 || 560
|1536 || 124166 || 560
|1536 || 124338 || 560
|1536 || 124325 || 560
|1536 || 124457 || 560
|2048 || 153925 || 560
|2048 || 154151 || 560
|2048 || 152163 || 560
|2048 || 153846 || 560
|2048 || 153806 || 560
|2048 || 152468 || 560
|2048 || 154124 || 560
|2048 || 153978 || 560
