| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 63984 || 872
|0 || 33072 || 872
|0 || 31641 || 872
|0 || 33152 || 872
|0 || 33271 || 872
|0 || 32502 || 872
|0 || 32940 || 872
|0 || 31986 || 872
|1 || 32635 || 872
|1 || 32953 || 872
|1 || 31893 || 872
|1 || 32926 || 872
|1 || 32966 || 872
|1 || 33350 || 872
|1 || 31827 || 872
|1 || 33231 || 872
|2 || 33788 || 872
|2 || 33244 || 872
|2 || 32105 || 872
|2 || 33297 || 872
|2 || 33456 || 872
|2 || 33417 || 872
|2 || 32595 || 872
|2 || 33337 || 872
|4 || 33019 || 872
|4 || 32131 || 872
|4 || 33615 || 872
|4 || 33350 || 872
|4 || 33244 || 872
|4 || 33006 || 872
|4 || 32476 || 872
|4 || 33244 || 872
|8 || 32926 || 872
|8 || 31959 || 872
|8 || 33403 || 872
|8 || 33562 || 872
|8 || 33271 || 872
|8 || 32582 || 872
|8 || 33854 || 872
|8 || 33509 || 872
|16 || 33231 || 872
|16 || 32741 || 872
|16 || 33841 || 872
|16 || 33138 || 872
|16 || 33377 || 872
|16 || 32754 || 872
|16 || 33337 || 872
|16 || 33364 || 872
|32 || 33350 || 872
|32 || 33642 || 872
|32 || 33072 || 872
|32 || 33589 || 872
|32 || 33695 || 872
|32 || 32436 || 872
|32 || 33814 || 872
|32 || 33894 || 872
|64 || 35815 || 888
|64 || 37418 || 888
|64 || 37034 || 888
|64 || 37060 || 888
|64 || 37339 || 888
|64 || 35961 || 888
|64 || 37153 || 888
|64 || 37378 || 888
|128 || 39922 || 888
|128 || 40492 || 888
|128 || 40678 || 888
|128 || 40837 || 888
|128 || 39631 || 888
|128 || 40903 || 888
|128 || 40545 || 888
|128 || 41022 || 888
|256 || 46667 || 888
|256 || 48508 || 888
|256 || 47978 || 888
|256 || 48124 || 888
|256 || 46879 || 888
|256 || 48111 || 888
|256 || 48058 || 888
|256 || 47886 || 888
|512 || 62964 || 888
|512 || 62487 || 888
|512 || 62487 || 888
|512 || 61931 || 888
|512 || 62301 || 888
|512 || 61374 || 888
|512 || 62845 || 888
|512 || 61493 || 888
|576 || 66369 || 888
|576 || 66634 || 888
|576 || 65203 || 888
|576 || 66383 || 888
|576 || 66065 || 888
|576 || 66197 || 887
|576 || 64793 || 888
|576 || 66608 || 888
|1024 || 91756 || 888
|1024 || 90657 || 888
|1024 || 92035 || 888
|1024 || 91664 || 888
|1024 || 91955 || 888
|1024 || 91743 || 888
|1024 || 92088 || 888
|1024 || 91717 || 888
|1536 || 120999 || 888
|1536 || 121026 || 888
|1536 || 121158 || 888
|1536 || 119714 || 888
|1536 || 121211 || 888
|1536 || 121238 || 888
|1536 || 119462 || 888
|1536 || 121211 || 888
|2048 || 150176 || 888
|2048 || 148943 || 888
|2048 || 150401 || 888
|2048 || 150229 || 888
|2048 || 149116 || 888
|2048 || 149990 || 888
|2048 || 150374 || 888
|2048 || 150268 || 888
