| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_nslu2-openwrt_0hash_empty empty] || 6517 || 788 || 101 || 13 || 7 || 3 || 0 || [wiki:r2011measureDetailsPage_17_0hash_empty Details]
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 28346 || 3533 || 489 || 102 || 74 || 60 || 46 || [wiki:r2011measureDetailsPage_17_blake32_sphlib Details]
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake64_sphlib sphlib] || 38071 || 4765 || 602 || 226 || 187 || 167 || 148 || [wiki:r2011measureDetailsPage_17_blake64_sphlib Details]
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 23408 || 2957 || 411 || 88 || 65 || 54 || 42 || [wiki:r2011measureDetailsPage_17_bmw256_sphlib Details]
|[wiki:r2011ciphers_bmw512 bmw512] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 66633 || 8323 || 1048 || 207 || 142 || 109 || 76 || [wiki:r2011measureDetailsPage_17_bmw512_sphlib Details]
|[wiki:r2011ciphers_cubehash161 cubehash161] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash161_unrolled unrolled] || 107281 || 17997 || 6229 || 4787 || 4668 || 4607 || 4545 || [wiki:r2011measureDetailsPage_17_cubehash161_unrolled Details]
|[wiki:r2011ciphers_cubehash1616 cubehash1616] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1616_unrolled unrolled] || 107630 || 13487 || 2002 || 533 || 427 || 375 || 322 || [wiki:r2011measureDetailsPage_17_cubehash1616_unrolled Details]
|[wiki:r2011ciphers_cubehash162 cubehash162] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash162_unrolled unrolled] || 107348 || 15738 || 3978 || 2540 || 2416 || 2357 || 2298 || [wiki:r2011measureDetailsPage_17_cubehash162_unrolled Details]
|[wiki:r2011ciphers_cubehash1632 cubehash1632] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1632_sphlib-small sphlib-small] || 65752 || 8215 || 1281 || 290 || 219 || 183 || 147 || [wiki:r2011measureDetailsPage_17_cubehash1632_sphlib-small Details]
|[wiki:r2011ciphers_cubehash164 cubehash164] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash164_unrolled unrolled] || 107597 || 14626 || 2852 || 1378 || 1290 || 1228 || 1166 || [wiki:r2011measureDetailsPage_17_cubehash164_unrolled Details]
|[wiki:r2011ciphers_cubehash168 cubehash168] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash168_unrolled unrolled] || 107514 || 14046 || 2285 || 814 || 709 || 665 || 620 || [wiki:r2011measureDetailsPage_17_cubehash168_unrolled Details]
|[wiki:r2011ciphers_cubehash81 cubehash81] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash81_unrolled unrolled] || 62211 || 10214 || 3379 || 2520 || 2476 || 2438 || 2400 || [wiki:r2011measureDetailsPage_17_cubehash81_unrolled Details]
|[wiki:r2011ciphers_cubehash816 cubehash816] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash816_unrolled unrolled] || 62227 || 7849 || 1166 || 310 || 249 || 218 || 187 || [wiki:r2011measureDetailsPage_17_cubehash816_unrolled Details]
|[wiki:r2011ciphers_cubehash82 cubehash82] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash82_unrolled unrolled] || 62311 || 9030 || 2200 || 1343 || 1282 || 1260 || 1238 || [wiki:r2011measureDetailsPage_17_cubehash82_unrolled Details]
|[wiki:r2011ciphers_cubehash832 cubehash832] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash832_unrolled unrolled] || 62128 || 7820 || 1090 || 236 || 175 || 145 || 114 || [wiki:r2011measureDetailsPage_17_cubehash832_unrolled Details]
|[wiki:r2011ciphers_cubehash84 cubehash84] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash84_unrolled unrolled] || 63424 || 8587 || 1635 || 766 || 703 || 680 || 657 || [wiki:r2011measureDetailsPage_17_cubehash84_unrolled Details]
|[wiki:r2011ciphers_cubehash88 cubehash88] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash88_unrolled unrolled] || 62244 || 8138 || 1313 || 458 || 397 || 366 || 335 || [wiki:r2011measureDetailsPage_17_cubehash88_unrolled Details]
|[wiki:r2011ciphers_echo256 echo256] || [wiki:r2011platformsimplementations_nslu2-openwrt_echo256_sphlib-small sphlib-small] || 60349 || 7446 || 939 || 278 || 257 || 227 || 196 || [wiki:r2011measureDetailsPage_17_echo256_sphlib-small Details]
|[wiki:r2011ciphers_echo512 echo512] || [wiki:r2011platformsimplementations_nslu2-openwrt_echo512_sphlib-small sphlib-small] || 69044 || 8666 || 1089 || 524 || 455 || 420 || 385 || [wiki:r2011measureDetailsPage_17_echo512_sphlib-small Details]
|[wiki:r2011ciphers_echosp256 echosp256] || [wiki:r2011platformsimplementations_nslu2-openwrt_echosp256_generic_opt32 generic_opt32] || 95145 || 12251 || 1532 || 377 || 279 || 252 || 224 || [wiki:r2011measureDetailsPage_17_echosp256_generic_opt32 Details]
|[wiki:r2011ciphers_echosp512 echosp512] || [wiki:r2011platformsimplementations_nslu2-openwrt_echosp512_generic_opt32 generic_opt32] || 105602 || 13529 || 1698 || 436 || 383 || 328 || 273 || [wiki:r2011measureDetailsPage_17_echosp512_generic_opt32 Details]
|[wiki:r2011ciphers_fugue256 fugue256] || [wiki:r2011platformsimplementations_nslu2-openwrt_fugue256_sphlib sphlib] || 41430 || 5919 || 872 || 220 || 173 || 148 || 124 || [wiki:r2011measureDetailsPage_17_fugue256_sphlib Details]
|[wiki:r2011ciphers_fugue512 fugue512] || [wiki:r2011platformsimplementations_nslu2-openwrt_fugue512_sphlib sphlib] || 70291 || 9528 || 1400 || 382 || 309 || 271 || 233 || [wiki:r2011measureDetailsPage_17_fugue512_sphlib Details]
|[wiki:r2011ciphers_hamsi hamsi] || [wiki:r2011platformsimplementations_nslu2-openwrt_hamsi_sphlib sphlib] || 26800 || 3780 || 792 || 387 || 335 || 298 || 261 || [wiki:r2011measureDetailsPage_17_hamsi_sphlib Details]
|[wiki:r2011ciphers_hamsi512 hamsi512] || [wiki:r2011platformsimplementations_nslu2-openwrt_hamsi512_sphlib sphlib] || 94530 || 15513 || 2416 || 1060 || 966 || 882 || 799 || [wiki:r2011measureDetailsPage_17_hamsi512_sphlib Details]
|[wiki:r2011ciphers_lane256 lane256] || [wiki:r2011platformsimplementations_nslu2-openwrt_lane256_c c] || 78121 || 11118 || 1378 || 319 || 241 || 202 || 162 || [wiki:r2011measureDetailsPage_17_lane256_c Details]
|[wiki:r2011ciphers_lane512 lane512] || [wiki:r2011platformsimplementations_nslu2-openwrt_lane512_c c] || 274362 || 49385 || 6170 || 1481 || 1233 || 1087 || 942 || [wiki:r2011measureDetailsPage_17_lane512_c Details]
|[wiki:r2011ciphers_luffa256 luffa256] || [wiki:r2011platformsimplementations_nslu2-openwrt_luffa256_sphlib sphlib] || 19352 || 2423 || 435 || 122 || 98 || 86 || 75 || [wiki:r2011measureDetailsPage_17_luffa256_sphlib Details]
|[wiki:r2011ciphers_luffa512 luffa512] || [wiki:r2011platformsimplementations_nslu2-openwrt_luffa512_sphlib sphlib] || 34314 || 4314 || 808 || 224 || 183 || 161 || 140 || [wiki:r2011measureDetailsPage_17_luffa512_sphlib Details]
|[wiki:r2011ciphers_mcssha4 mcssha4] || [wiki:r2011platformsimplementations_nslu2-openwrt_mcssha4_ref ref] || 21995 || 2918 || 481 || 175 || 153 || 142 || 130 || [wiki:r2011measureDetailsPage_17_mcssha4_ref Details]
|[wiki:r2011ciphers_mcssha5 mcssha5] || [wiki:r2011platformsimplementations_nslu2-openwrt_mcssha5_ref ref] || 29061 || 3759 || 590 || 189 || 160 || 145 || 130 || [wiki:r2011measureDetailsPage_17_mcssha5_ref Details]
