| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 307585609 || 7055539 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:r2011runs_13 Run 13]
|20100726 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 305990314 || 7055381 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:r2011runs_14 Run 14]
|20100727 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 307604936 || 7050071 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:r2011runs_15 Run 15]
|20100728 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 306114289 || 7054504 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:r2011runs_16 Run 16]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 310396208 || 7057935 || 3060 (25097) || 0 (472) || 32 (2776) || 288(301) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 330427474 || 7052378 || 3060 (25705) || 0 (472) || 32 (2780) || 288(301) || Checksum OK || [wiki:r2011runs_34 Run 34]
|20100725 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 118278011 || 2577746 || 1288 (18172) || 0 (472) || 32 (2768) || 260(260) || Checksum OK || [wiki:r2011runs_13 Run 13]
|20100726 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 113429318 || 2578511 || 1288 (18172) || 0 (472) || 32 (2768) || 260(260) || Checksum OK || [wiki:r2011runs_14 Run 14]
|20100727 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 110590717 || 2578185 || 1288 (18172) || 0 (472) || 32 (2768) || 260(260) || Checksum OK || [wiki:r2011runs_15 Run 15]
|20100728 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 116831948 || 2569500 || 1288 (18172) || 0 (472) || 32 (2768) || 260(260) || Checksum OK || [wiki:r2011runs_16 Run 16]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 118792238 || 2577083 || 1288 (18172) || 0 (472) || 32 (2776) || 260(260) || Checksum OK || [wiki:r2011runs_27 Run 27]
