| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 85292494 || 5641729 || 36620 (58657) || 4096 (4568) || 48 (2792) || 816(829) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 83410099 || 5643506 || 36620 (59265) || 4096 (4568) || 48 (2796) || 816(829) || Checksum OK || [wiki:r2011runs_34 Run 34]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 11518132 || 583493 || 18408 (35292) || 4096 (4568) || 48 (2792) || 764(764) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 12462548 || 582368 || 18408 (35792) || 4096 (4568) || 48 (2796) || 764(764) || Checksum OK || [wiki:r2011runs_34 Run 34]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || 63357098 || 4596109 || 28500 (45180) || 4096 (4568) || 48 (2792) || 3720(3720) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || 61422986 || 4596671 || 28500 (45672) || 4096 (4568) || 48 (2796) || 3720(3720) || Checksum OK || [wiki:r2011runs_34 Run 34]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || 60895710 || 4617608 || 29176 (49196) || 4096 (4568) || 48 (2792) || 3696(3696) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || 60831743 || 4610554 || 29176 (48996) || 4096 (4568) || 48 (2796) || 3696(3696) || Checksum OK || [wiki:r2011runs_34 Run 34]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || 53340143 || 4007160 || 25632 (42173) || 4096 (4568) || 48 (2792) || 3720(3720) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || 66478871 || 4008443 || 25632 (42649) || 4096 (4568) || 48 (2796) || 3720(3720) || Checksum OK || [wiki:r2011runs_34 Run 34]
