| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 13358644 || 507690 || 5660 (27697) || 0 (472) || 32 (2768) || 328(341) || Checksum OK || [wiki:r2011runs_13 Run 13]
|20100726 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 13354515 || 507600 || 5660 (27697) || 0 (472) || 32 (2768) || 328(341) || Checksum OK || [wiki:r2011runs_14 Run 14]
|20100727 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 13354594 || 507465 || 5660 (27697) || 0 (472) || 32 (2768) || 328(341) || Checksum OK || [wiki:r2011runs_15 Run 15]
|20100728 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 13354864 || 507623 || 5660 (27697) || 0 (472) || 32 (2768) || 328(341) || Checksum OK || [wiki:r2011runs_16 Run 16]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 13358565 || 507769 || 5660 (27697) || 0 (472) || 32 (2776) || 328(341) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 17145754 || 508140 || 5660 (28305) || 0 (472) || 32 (2780) || 328(341) || Checksum OK || [wiki:r2011runs_34 Run 34]
|20100725 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 4913505 || 139399 || 3232 (20116) || 0 (472) || 32 (2768) || 328(328) || Checksum OK || [wiki:r2011runs_13 Run 13]
|20100726 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 4919535 || 139523 || 3232 (20116) || 0 (472) || 32 (2768) || 328(328) || Checksum OK || [wiki:r2011runs_14 Run 14]
|20100727 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 4925970 || 139219 || 3232 (20116) || 0 (472) || 32 (2768) || 328(328) || Checksum OK || [wiki:r2011runs_15 Run 15]
|20100728 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 4916408 || 139163 || 3232 (20116) || 0 (472) || 32 (2768) || 328(328) || Checksum OK || [wiki:r2011runs_16 Run 16]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 4914383 || 139140 || 3232 (20116) || 0 (472) || 32 (2776) || 328(328) || Checksum OK || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 4922640 || 139725 || 3232 (20616) || 0 (472) || 32 (2780) || 328(328) || Checksum OK || [wiki:r2011runs_34 Run 34]
|20100725 || hal || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || 4573541 || 124346 || 3164 (19844) || 0 (472) || 32 (2768) || 340(340) || Checksum OK || [wiki:r2011runs_13 Run 13]
