| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 35700019 || 3220999 || 31723 (53760) || 196 (668) || 4 (2748) || 978(991) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 47745821 || 3229099 || 31420 (54065) || 192 (664) || 0 (2748) || 990(1003) || Checksum failed || [wiki:r2011runs_34 Run 34]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 13698056 || 1134326 || 13544 (30928) || 192 (664) || 0 (2748) || 1076(1076) || Checksum failed || [wiki:r2011runs_34 Run 34]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 13561481 || 1128859 || 13880 (30764) || 196 (668) || 4 (2748) || 1076(1076) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || 13771541 || 1163081 || 14568 (31248) || 196 (668) || 4 (2748) || 1012(1012) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || 13919557 || 1176131 || 14216 (31388) || 192 (664) || 0 (2748) || 1012(1012) || Checksum failed || [wiki:r2011runs_34 Run 34]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || 13381099 || 1051605 || 37312 (57332) || 196 (668) || 4 (2748) || 2396(2396) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || 13428911 || 1037531 || 36992 (56812) || 192 (664) || 0 (2748) || 2396(2396) || Checksum failed || [wiki:r2011runs_34 Run 34]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || 15460358 || 1111601 || 13917 (30458) || 196 (668) || 4 (2748) || 1052(1052) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || 13419956 || 1111984 || 13600 (30617) || 192 (664) || 0 (2748) || 1052(1052) || Checksum failed || [wiki:r2011runs_34 Run 34]
