| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 837610875 || 38410718 || 9066 (31103) || 400 (872) || 32 (2776) || 3516(3529) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 1278804251 || 37602833 || 9066 (31711) || 400 (872) || 32 (2780) || 3516(3529) || Checksum failed || [wiki:r2011runs_34 Run 34]
|20100725 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 823630523 || 37807166 || 14438 (36475) || 16 (488) || 32 (2768) || 3504(3517) || Checksum OK || [wiki:r2011runs_13 Run 13]
|20100726 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 812386901 || 37844561 || 14438 (36475) || 16 (488) || 32 (2768) || 3504(3517) || Checksum OK || [wiki:r2011runs_14 Run 14]
|20100727 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 820528943 || 37862708 || 14438 (36475) || 16 (488) || 32 (2768) || 3504(3517) || Checksum OK || [wiki:r2011runs_15 Run 15]
|20100728 || hal || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || 812243858 || 37873024 || 14438 (36475) || 16 (488) || 32 (2768) || 3504(3517) || Checksum OK || [wiki:r2011runs_16 Run 16]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 307980383 || 14340622 || 4410 (21294) || 400 (872) || 32 (2776) || 3432(3432) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 316910003 || 14348846 || 4410 (21794) || 400 (872) || 32 (2780) || 3432(3432) || Checksum failed || [wiki:r2011runs_34 Run 34]
|20100725 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 305696104 || 14344526 || 9802 (26686) || 16 (488) || 32 (2768) || 3428(3428) || Checksum OK || [wiki:r2011runs_13 Run 13]
|20100726 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 305680883 || 14342096 || 9802 (26686) || 16 (488) || 32 (2768) || 3428(3428) || Checksum OK || [wiki:r2011runs_14 Run 14]
|20100727 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 305731226 || 14346787 || 9802 (26686) || 16 (488) || 32 (2768) || 3428(3428) || Checksum OK || [wiki:r2011runs_15 Run 15]
|20100728 || hal || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || 305691548 || 14395129 || 9802 (26686) || 16 (488) || 32 (2768) || 3428(3428) || Checksum OK || [wiki:r2011runs_16 Run 16]
|20101020 || clix || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || 305944189 || 14250544 || 4438 (21118) || 400 (872) || 32 (2776) || 3460(3460) || Checksum failed || [wiki:r2011runs_27 Run 27]
|20110515 || clix || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || 310139528 || 14301045 || 4438 (21610) || 400 (872) || 32 (2780) || 3460(3460) || Checksum failed || [wiki:r2011runs_34 Run 34]
