| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100801 || blix || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 12136 (32012) || 32 (700) || 0 (2415) || unk(unk) || error || [wiki:r2011runs_21 Run 21]
|20100802 || blix || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 12136 (32012) || 32 (700) || 0 (2415) || unk(unk) || error || [wiki:r2011runs_22 Run 22]
|20101114 || clix || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 12136 (32012) || 32 (700) || 0 (2415) || unk(unk) || error || [wiki:r2011runs_28 Run 28]
|20100801 || blix || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 38000853 || 2302733 || 7346 (16476) || 32 (444) || 0 (2415) || 562(562) || Checksum OK || [wiki:r2011runs_21 Run 21]
|20100802 || blix || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 38000862 || 2302734 || 7346 (16476) || 32 (444) || 0 (2415) || 562(562) || Checksum OK || [wiki:r2011runs_22 Run 22]
|20101114 || clix || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 38000886 || 2302735 || 7346 (16476) || 32 (444) || 0 (2415) || 562(562) || Checksum OK || [wiki:r2011runs_28 Run 28]
|20100801 || blix || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 36198965 || 2226232 || 6964 (15210) || 32 (444) || 0 (2415) || 562(562) || Checksum OK || [wiki:r2011runs_21 Run 21]
|20100802 || blix || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 36198973 || 2226232 || 6964 (15210) || 32 (444) || 0 (2415) || 562(562) || Checksum OK || [wiki:r2011runs_22 Run 22]
|20101114 || clix || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 36198996 || 2226233 || 6964 (15210) || 32 (444) || 0 (2415) || 562(562) || Checksum OK || [wiki:r2011runs_28 Run 28]
|20100801 || blix || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 34055269 || 2077534 || 18606 (26874) || 32 (444) || 0 (2415) || 776(776) || Checksum OK || [wiki:r2011runs_21 Run 21]
|20100802 || blix || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 34055278 || 2077535 || 18606 (26874) || 32 (444) || 0 (2415) || 776(776) || Checksum OK || [wiki:r2011runs_22 Run 22]
|20101114 || clix || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 34055297 || 2077536 || 18606 (26874) || 32 (444) || 0 (2415) || 776(776) || Checksum OK || [wiki:r2011runs_28 Run 28]
|20100801 || blix || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 37463615 || 2302127 || 6624 (14330) || 32 (444) || 0 (2415) || 564(564) || Checksum OK || [wiki:r2011runs_21 Run 21]
|20100802 || blix || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 37463624 || 2302128 || 6624 (14330) || 32 (444) || 0 (2415) || 564(564) || Checksum OK || [wiki:r2011runs_22 Run 22]
|20101114 || clix || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 37463646 || 2302129 || 6624 (14330) || 32 (444) || 0 (2415) || 564(564) || Checksum OK || [wiki:r2011runs_28 Run 28]
