| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 27933345 || 1248190 || 63466 (105616) || 12 (956) || 32 (2872) || 2280(2328) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 27932153 || 1248362 || 63466 (105616) || 12 (956) || 32 (2872) || 2280(2328) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 27929900 || 1248826 || 63466 (105616) || 12 (956) || 32 (2872) || 2280(2328) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 27986756 || 1248998 || 63466 (105616) || 12 (956) || 32 (2872) || 2280(2328) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 34143395 || 1606496 || 63466 (105696) || 12 (956) || 32 (2872) || 2280(2328) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 28663434 || 1249064 || 63466 (105696) || 12 (956) || 32 (2872) || 2280(2328) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 22396555 || 1067009 || 57530 (90575) || 12 (952) || 32 (2872) || 5080(5136) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 22424658 || 1067076 || 57530 (90575) || 12 (952) || 32 (2872) || 5080(5136) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 22430846 || 1066519 || 57530 (90575) || 12 (952) || 32 (2872) || 5080(5136) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 22411077 || 1066718 || 57530 (90575) || 12 (952) || 32 (2872) || 5080(5136) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 29045815 || 1346863 || 57530 (90623) || 12 (952) || 32 (2872) || 5080(5136) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 23280396 || 1066559 || 57530 (90623) || 12 (952) || 32 (2872) || 5080(5136) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 31542407 || 1191983 || 69226 (100671) || 12 (952) || 32 (2872) || 7136(7192) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 31538485 || 1191798 || 69226 (100671) || 12 (952) || 32 (2872) || 7136(7192) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 31550688 || 1191877 || 69226 (100671) || 12 (952) || 32 (2872) || 7136(7192) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 31527752 || 1191891 || 69226 (100671) || 12 (952) || 32 (2872) || 7136(7192) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 39089448 || 1562665 || 69226 (100703) || 12 (952) || 32 (2872) || 7136(7192) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 32318433 || 1191930 || 69226 (100703) || 12 (952) || 32 (2872) || 7136(7192) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 31470486 || 1191904 || 69226 (100727) || 12 (952) || 32 (2868) || 7136(7192) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 31479496 || 1192288 || 69226 (100727) || 12 (952) || 32 (2868) || 7136(7192) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 31477707 || 1192421 || 69226 (100727) || 12 (952) || 32 (2868) || 7135(7191) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 31469227 || 1191612 || 69226 (100727) || 12 (952) || 32 (2868) || 7136(7192) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 39925125 || 1484941 || 69226 (100759) || 12 (952) || 32 (2868) || 7136(7192) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 32228161 || 1193057 || 69226 (100759) || 12 (952) || 32 (2868) || 7136(7192) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 23701375 || 1073210 || 56002 (87152) || 12 (952) || 32 (2872) || 7136(7192) || Checksum OK || [wiki:r2011runs_9 Run 9]
