| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 205864150 || 15916311 || 4261 (46411) || 16 (960) || 32 (2872) || 320(368) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 205911400 || 15914496 || 4261 (46411) || 16 (960) || 32 (2872) || 320(368) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 205805400 || 15915211 || 4261 (46411) || 16 (960) || 32 (2872) || 320(368) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 205855684 || 15916920 || 4261 (46411) || 16 (960) || 32 (2872) || 320(368) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 253028903 || 18693564 || 4245 (46475) || 16 (960) || 32 (2872) || 320(368) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 206074481 || 15918683 || 4245 (46475) || 16 (960) || 32 (2872) || 320(368) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 78136363 || 6106210 || 2149 (35194) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 78144128 || 6107177 || 2149 (35194) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 78130003 || 6105733 || 2149 (35194) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 78135104 || 6106064 || 2149 (35194) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 95294199 || 7068981 || 2149 (35242) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 78298954 || 6106104 || 2149 (35242) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 67289675 || 5258408 || 2357 (33802) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 67272105 || 5257242 || 2357 (33802) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 67267719 || 5259415 || 2357 (33802) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 67269044 || 5257839 || 2357 (33802) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 82442693 || 6127370 || 2357 (33834) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_25 Run 25]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 67397159 || 5258700 || 2357 (33834) || 16 (956) || 32 (2872) || 288(344) || Checksum OK || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 22922103 || 1848932 || 10362 (41863) || 16 (956) || 32 (2868) || 1072(1128) || Checksum OK || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 22919930 || 1849236 || 10362 (41863) || 16 (956) || 32 (2868) || 1072(1128) || Checksum OK || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 22924726 || 1849356 || 10362 (41863) || 16 (956) || 32 (2868) || 1072(1128) || Checksum OK || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 22930145 || 1849250 || 10362 (41863) || 16 (956) || 32 (2868) || 1072(1128) || Checksum OK || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 29314353 || 2276946 || 10362 (41895) || 16 (956) || 32 (2868) || 1072(1128) || Checksum OK || [wiki:r2011runs_25 Run 25]
