| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 6228958 || 464519 || 16007 (58157) || 68 (1012) || 0 (2840) || 984(1032) || Checksum failed || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 6233092 || 464797 || 16007 (58157) || 68 (1012) || 0 (2840) || 984(1032) || Checksum failed || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 6239823 || 464770 || 16007 (58157) || 68 (1012) || 0 (2840) || 984(1032) || Checksum failed || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 6232177 || 464770 || 16007 (58157) || 68 (1012) || 0 (2840) || 984(1032) || Checksum failed || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 9316632 || 851326 || 15991 (58221) || 68 (1012) || 0 (2840) || 984(1032) || Checksum failed || [wiki:r2011runs_25 Run 25]
|20101114 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 7130951 || 464373 || 15991 (58221) || 68 (1012) || 0 (2840) || 984(1032) || Checksum OK || [wiki:r2011runs_31 Run 31]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 7115489 || 464625 || 15991 (58221) || 68 (1012) || 0 (2840) || 984(1032) || Checksum failed || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1995092 || 222507 || 10215 (43260) || 64 (1004) || 0 (2840) || 832(888) || Checksum failed || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2002645 || 222680 || 10215 (43260) || 64 (1004) || 0 (2840) || 832(888) || Checksum failed || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1990945 || 222587 || 10215 (43260) || 64 (1004) || 0 (2840) || 832(888) || Checksum failed || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1991263 || 222309 || 10215 (43260) || 64 (1004) || 0 (2840) || 832(888) || Checksum failed || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2333047 || 598317 || 10231 (43324) || 64 (1004) || 0 (2840) || 832(888) || Checksum failed || [wiki:r2011runs_25 Run 25]
|20101114 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2127036 || 221699 || 10231 (43324) || 64 (1004) || 0 (2840) || 832(888) || Checksum OK || [wiki:r2011runs_31 Run 31]
|20101103 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2129752 || 221288 || 10231 (43324) || 64 (1004) || 0 (2840) || 832(888) || Checksum failed || [wiki:r2011runs_32 Run 32]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 2039162 || 229543 || 10183 (41628) || 64 (1004) || 0 (2840) || 928(984) || Checksum failed || [wiki:r2011runs_9 Run 9]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 2050159 || 229702 || 10183 (41628) || 64 (1004) || 0 (2840) || 928(984) || Checksum failed || [wiki:r2011runs_10 Run 10]
|20100727 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 2047973 || 229477 || 10183 (41628) || 64 (1004) || 0 (2840) || 928(984) || Checksum failed || [wiki:r2011runs_11 Run 11]
|20100728 || blix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 2016690 || 229689 || 10183 (41628) || 64 (1004) || 0 (2840) || 928(984) || Checksum failed || [wiki:r2011runs_12 Run 12]
|20101017 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 3134831 || 230497 || 10183 (41660) || 64 (1004) || 0 (2840) || 928(984) || Checksum failed || [wiki:r2011runs_25 Run 25]
|20101114 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 2202985 || 228139 || 10183 (41660) || 64 (1004) || 0 (2840) || 928(984) || Checksum OK || [wiki:r2011runs_31 Run 31]
