| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6762219 || 363838 || 16996 (39406) || 0 (388) || 0 (2828) || 892(900) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6764214 || 363855 || 16996 (39406) || 0 (388) || 0 (2828) || 892(900) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6762701 || 363921 || 16996 (39406) || 0 (388) || 0 (2828) || 892(900) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6765660 || 380979 || 16996 (39406) || 0 (388) || 0 (2828) || 892(900) || Checksum failed || [wiki:r2011runs_20 Run 20]
|20101017 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6794022 || 363772 || 16996 (39450) || 0 (388) || 0 (2828) || 892(900) || Checksum failed || [wiki:r2011runs_24 Run 24]
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2371689 || 165086 || 11112 (27310) || 0 (384) || 0 (2828) || 848(864) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2371224 || 164737 || 11112 (27310) || 0 (384) || 0 (2828) || 848(864) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2370875 || 164820 || 11112 (27310) || 0 (384) || 0 (2828) || 848(864) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2371939 || 164837 || 11112 (27310) || 0 (384) || 0 (2828) || 848(864) || Checksum failed || [wiki:r2011runs_20 Run 20]
|20101017 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2366835 || 165253 || 11160 (27394) || 0 (384) || 0 (2828) || 848(864) || Checksum failed || [wiki:r2011runs_24 Run 24]
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2259720 || 150972 || 12388 (28494) || 0 (384) || 0 (2828) || 927(935) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2258822 || 151188 || 12388 (28494) || 0 (384) || 0 (2828) || 928(936) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2257825 || 151071 || 12388 (28494) || 0 (384) || 0 (2828) || 928(936) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2255431 || 151238 || 12388 (28494) || 0 (384) || 0 (2828) || 928(936) || Checksum failed || [wiki:r2011runs_20 Run 20]
|20101017 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O2] || 4.1.2 || 2258041 || 150506 || 12496 (28638) || 0 (384) || 0 (2828) || 932(940) || Checksum failed || [wiki:r2011runs_24 Run 24]
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2271490 || 152102 || 14432 (31450) || 0 (384) || 0 (2824) || 1208(1224) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2259321 || 152202 || 14432 (31450) || 0 (384) || 0 (2824) || 1208(1224) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2259221 || 152036 || 14432 (31450) || 0 (384) || 0 (2824) || 1208(1224) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2258490 || 152119 || 14432 (31450) || 0 (384) || 0 (2824) || 1208(1224) || Checksum failed || [wiki:r2011runs_20 Run 20]
|20101017 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O3] || 4.1.2 || 2236079 || 152235 || 14540 (31594) || 0 (384) || 0 (2824) || 1212(1228) || Checksum failed || [wiki:r2011runs_24 Run 24]
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -Os] || 4.1.2 || 2316378 || 156940 || 12324 (28034) || 0 (384) || 0 (2828) || 932(948) || Checksum failed || [wiki:r2011runs_17 Run 17]
