| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 10408098 || 299150 || 75820 (98230) || 0 (388) || 131076 (133904) || 1632(1640) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 10444357 || 299167 || 75820 (98230) || 0 (388) || 131076 (133904) || 1632(1640) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 10415280 || 299433 || 75820 (98230) || 0 (388) || 131076 (133904) || 1632(1640) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 10444640 || 299333 || 75820 (98230) || 0 (388) || 131076 (133904) || 1632(1640) || Checksum failed || [wiki:r2011runs_20 Run 20]
|20101017 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 10422977 || 299599 || 75820 (98274) || 0 (388) || 131076 (133904) || 1632(1640) || Checksum failed || [wiki:r2011runs_24 Run 24]
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 3550369 || 166084 || 41420 (57618) || 0 (384) || 131076 (133904) || 1000(1016) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 3550485 || 165868 || 41420 (57618) || 0 (384) || 131076 (133904) || 1000(1016) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 3550435 || 166001 || 41420 (57618) || 0 (384) || 131076 (133904) || 1000(1016) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 3528473 || 165901 || 41420 (57618) || 0 (384) || 131076 (133904) || 1000(1016) || Checksum failed || [wiki:r2011runs_20 Run 20]
|20101017 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 3548290 || 165768 || 41468 (57702) || 0 (384) || 131076 (133904) || 1000(1016) || Checksum failed || [wiki:r2011runs_24 Run 24]
