| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6829134 || 415941 || 33072 (55482) || 0 (388) || 0 (2828) || 1196(1204) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6877513 || 416573 || 33072 (55482) || 0 (388) || 0 (2828) || 1196(1204) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6828287 || 416490 || 33072 (55482) || 0 (388) || 0 (2828) || 1196(1204) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 6824263 || 416423 || 33072 (55482) || 0 (388) || 0 (2828) || 1196(1204) || Checksum failed || [wiki:r2011runs_20 Run 20]
|20101017 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 7021818 || 408576 || 33044 (55498) || 0 (388) || 0 (2828) || 1188(1196) || Checksum failed || [wiki:r2011runs_24 Run 24]
|20101114 || clix || [wiki:r2011compilernames armeb-uclibc-gcc -O0] || 4.1.2 || 7023065 || 408626 || 33044 (55498) || 0 (388) || 0 (2828) || 1188(1196) || Checksum OK || [wiki:r2011runs_30 Run 30]
|20100728 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2620881 || 227447 || 21880 (38078) || 0 (384) || 0 (2828) || 924(940) || Checksum failed || [wiki:r2011runs_17 Run 17]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2619684 || 226798 || 21880 (38078) || 0 (384) || 0 (2828) || 924(940) || Checksum failed || [wiki:r2011runs_18 Run 18]
|20100729 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2621181 || 226948 || 21880 (38078) || 0 (384) || 0 (2828) || 924(940) || Checksum failed || [wiki:r2011runs_19 Run 19]
|20100730 || knulp || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || 2621247 || 226765 || 21880 (38078) || 0 (384) || 0 (2828) || 924(940) || Checksum failed || [wiki:r2011runs_20 Run 20]
