| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_avr8asm_highspeed avr8asm_highspeed] || 704853 || 4982 || 533 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_avr8asm_balanced avr8asm_balanced] || 766025 || 1398 || 535 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_321 Run 321]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_avr8asm_lowram256 avr8asm_lowram256] || 798664 || 1726 || 279 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_321 Run 321]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_avr8asm_lowram192b avr8asm_lowram192b] || 821724 || 1726 || 216 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_avr8asm_lowram192a avr8asm_lowram192a] || 854201 || 1982 || 215 || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2012runs_321 Run 321]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_avr8asm_lowram128 avr8asm_lowram128] || 877186 || 1836 || 152 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_8bit_c 8bit_c] || 1205980 || 9506 || 1013 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_sphlib-small sphlib-small] || 2396310 || 29468 || 9142 || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_32bit-bytesliced-c-fast 32bit-bytesliced-c-fast] || 4476468 || 18120 || 700 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_32bit-bytesliced-c-small 32bit-bytesliced-c-small] || 4877969 || 11790 || 569 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_32bit-2ktable 32bit-2ktable] || 4938115 || 36452 || 3052 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_avrcryptolib avrcryptolib] || 18273014 || 4460 || 439 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
|[wiki:r2012platformsimplementations_atmega1284p_16mhz_groestl256_armcryptolib armcryptolib] || 19403928 || 4600 || 737 || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || [wiki:r2012runs_301 Run 301]
