| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_inplace32bi-armv7m inplace32bi-armv7m] || 144890 || 5316 || 260 || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_armasm armasm] || 162765 || 6368 || 776 || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_simple32bi simple32bi] || 181182 || 7252 || 856 || [wiki:r2011compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_opt32bi-s2lcu4 opt32bi-s2lcu4] || 182145 || 22176 || 884 || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_inplace32bi inplace32bi] || 184476 || 9176 || 652 || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 185190 || 13988 || 884 || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_inplace32bi-armv6m_gcc inplace32bi-armv6m_gcc] || 197042 || 5312 || 260 || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_simple simple] || 360706 || 7544 || 884 || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_inplace inplace] || 362854 || 11728 || 884 || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_opt64lcu6 opt64lcu6] || 372800 || 47856 || 884 || [wiki:r2011compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_sphlib-small sphlib-small] || 416946 || 7336 || 884 || [wiki:r2011compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_sphlib sphlib] || 457057 || 27028 || 884 || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_compact compact] || 784410 || 4356 || 516 || [wiki:r2011compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2011runs_320 Run 320]
|[wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_compact8 compact8] || 1101082 || 4112 || 580 || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:r2011runs_304 Run 304]
