| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 4536 || 344
|0 || 4535 || 344
|0 || 4536 || 344
|0 || 4536 || 344
|0 || 4536 || 344
|0 || 4536 || 344
|0 || 4536 || 344
|0 || 4536 || 344
|1 || 4729 || 344
|1 || 4728 || 344
|1 || 4729 || 344
|1 || 4729 || 344
|1 || 4729 || 344
|1 || 4729 || 344
|1 || 4729 || 344
|1 || 4729 || 344
|2 || 4730 || 344
|2 || 4730 || 344
|2 || 4730 || 344
|2 || 4730 || 344
|2 || 4730 || 344
|2 || 4730 || 344
|2 || 4730 || 344
|2 || 4730 || 344
|4 || 4622 || 344
|4 || 4622 || 344
|4 || 4622 || 344
|4 || 4622 || 344
|4 || 4622 || 344
|4 || 4622 || 344
|4 || 4622 || 344
|4 || 4622 || 344
|8 || 4643 || 344
|8 || 4643 || 344
|8 || 4643 || 344
|8 || 4643 || 344
|8 || 4643 || 344
|8 || 4643 || 344
|8 || 4643 || 344
|8 || 4643 || 344
|16 || 4601 || 344
|16 || 4601 || 344
|16 || 4601 || 344
|16 || 4600 || 344
|16 || 4601 || 344
|16 || 4601 || 344
|16 || 4601 || 344
|16 || 4601 || 344
|32 || 4552 || 344
|32 || 4552 || 344
|32 || 4552 || 344
|32 || 4552 || 344
|32 || 4552 || 344
|32 || 4552 || 344
|32 || 4552 || 344
|32 || 4551 || 344
|64 || 6170 || 344
|64 || 6170 || 344
|64 || 6169 || 344
|64 || 6170 || 344
|64 || 6170 || 344
|64 || 6170 || 344
|64 || 6170 || 344
|64 || 6170 || 344
|128 || 9256 || 344
|128 || 9255 || 344
|128 || 9255 || 344
|128 || 9255 || 344
|128 || 9255 || 344
|128 || 9256 || 344
|128 || 9256 || 344
|128 || 9256 || 344
|256 || 15428 || 344
|256 || 15428 || 344
|256 || 15427 || 344
|256 || 15428 || 344
|256 || 15427 || 344
|256 || 15427 || 344
|256 || 15427 || 344
|256 || 15427 || 344
|512 || 27770 || 344
|512 || 27770 || 344
|512 || 27771 || 344
|512 || 27770 || 344
|512 || 27771 || 344
|512 || 27770 || 344
|512 || 27770 || 344
|512 || 27770 || 344
|576 || 30856 || 344
|576 || 30856 || 344
|576 || 30857 || 344
|576 || 30856 || 344
|576 || 30856 || 344
|576 || 30856 || 344
|576 || 30856 || 344
|576 || 30856 || 344
|1024 || 52457 || 344
|1024 || 52457 || 344
|1024 || 52457 || 344
|1024 || 52457 || 344
|1024 || 52457 || 344
|1024 || 52457 || 344
|1024 || 52457 || 344
|1024 || 52457 || 344
|1536 || 77144 || 344
|1536 || 77144 || 344
|1536 || 77144 || 344
|1536 || 77144 || 344
|1536 || 77143 || 344
|1536 || 77143 || 344
|1536 || 77143 || 344
|1536 || 77143 || 344
|2048 || 101830 || 344
|2048 || 101830 || 344
|2048 || 101830 || 344
|2048 || 101830 || 344
|2048 || 101830 || 344
|2048 || 101829 || 344
|2048 || 101830 || 344
|2048 || 101830 || 344
