| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 83125 || 1844
|0 || 18813 || 1844
|0 || 14938 || 1844
|0 || 13063 || 1844
|0 || 13625 || 1844
|0 || 13688 || 1844
|0 || 12563 || 1844
|0 || 13375 || 1844
|0 || 13938 || 1844
|0 || 12438 || 1844
|0 || 12375 || 1844
|0 || 13063 || 1844
|0 || 12500 || 1844
|0 || 12375 || 1844
|0 || 11938 || 1844
|0 || 12125 || 1844
|0 || 23813 || 1844
|0 || 14750 || 1844
|0 || 13375 || 1844
|0 || 12438 || 1844
|0 || 13188 || 1844
|0 || 13313 || 1844
|0 || 12938 || 1844
|0 || 12625 || 1844
|0 || 12063 || 1844
|0 || 12938 || 1844
|0 || 12063 || 1844
|0 || 12313 || 1844
|0 || 12813 || 1844
|0 || 12625 || 1844
|0 || 11688 || 1844
|0 || 12188 || 1844
|0 || 13000 || 1844
|0 || 13000 || 1844
|0 || 11750 || 1844
|0 || 12500 || 1844
|0 || 13188 || 1844
|0 || 13125 || 1844
|0 || 11438 || 1844
|0 || 13063 || 1844
|0 || 20125 || 1844
|0 || 15063 || 1844
|0 || 13125 || 1844
|0 || 12250 || 1844
|0 || 13125 || 1844
|0 || 19313 || 1844
|0 || 13250 || 1844
|0 || 13750 || 1844
|0 || 14563 || 1844
|0 || 14375 || 1844
|0 || 12875 || 1844
|0 || 13438 || 1844
|0 || 12688 || 1844
|0 || 12000 || 1844
|0 || 11625 || 1844
|0 || 11813 || 1844
|0 || 13125 || 1844
|0 || 12875 || 1844
|0 || 12750 || 1844
|0 || 13188 || 1844
|0 || 11813 || 1844
|0 || 12313 || 1844
|0 || 12563 || 1844
|0 || 12063 || 1844
|0 || 12688 || 1844
|0 || 13000 || 1844
|0 || 11875 || 1844
|0 || 12438 || 1844
|0 || 12625 || 1844
|0 || 12438 || 1844
|0 || 11875 || 1844
|0 || 13500 || 1844
|0 || 11750 || 1844
|0 || 35750 || 1844
|0 || 19000 || 1844
|0 || 14313 || 1844
|0 || 13813 || 1844
|0 || 13000 || 1844
|0 || 13313 || 1844
|0 || 13125 || 1844
|0 || 12625 || 1844
|0 || 12750 || 1844
|0 || 13688 || 1844
|0 || 12750 || 1844
|0 || 13125 || 1844
|0 || 12188 || 1844
|0 || 12000 || 1844
|0 || 13313 || 1844
|0 || 12188 || 1844
|0 || 11875 || 1844
|0 || 12375 || 1844
