| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 44750 || 1508
|0 || 22250 || 1508
|0 || 22063 || 1508
|0 || 20125 || 1508
|0 || 19875 || 1508
|0 || 19438 || 1508
|0 || 19938 || 1508
|0 || 19313 || 1508
|0 || 25438 || 1508
|0 || 21563 || 1508
|0 || 20250 || 1508
|0 || 19750 || 1508
|0 || 20500 || 1508
|0 || 19375 || 1508
|0 || 19813 || 1508
|0 || 20500 || 1508
|0 || 20000 || 1508
|0 || 19750 || 1508
|0 || 20750 || 1508
|0 || 20375 || 1508
|0 || 20563 || 1508
|0 || 18750 || 1508
|0 || 19875 || 1508
|0 || 19875 || 1508
|0 || 19375 || 1508
|0 || 27188 || 1508
|0 || 24625 || 1508
|0 || 24625 || 1508
|0 || 21688 || 1508
|0 || 20500 || 1508
|0 || 19625 || 1508
|0 || 19813 || 1508
|0 || 19563 || 1508
|0 || 20000 || 1508
|0 || 21375 || 1508
|0 || 20500 || 1508
|0 || 20375 || 1508
|0 || 22500 || 1508
|0 || 21125 || 1508
|0 || 22063 || 1508
|0 || 19938 || 1508
|0 || 19500 || 1508
|0 || 19625 || 1508
|0 || 20000 || 1508
|0 || 20313 || 1508
|0 || 19250 || 1508
|0 || 20000 || 1508
|0 || 19875 || 1508
|0 || 20500 || 1508
|0 || 20563 || 1508
|0 || 20375 || 1508
|0 || 19813 || 1508
|0 || 21000 || 1508
|0 || 19938 || 1508
|0 || 19188 || 1508
|0 || 20000 || 1508
|0 || 20250 || 1508
|0 || 20188 || 1508
|0 || 19188 || 1508
|0 || 19688 || 1508
|0 || 19875 || 1508
|0 || 19188 || 1508
|0 || 19563 || 1508
|0 || 23438 || 1508
|0 || 22313 || 1508
|0 || 20125 || 1508
|0 || 19500 || 1508
|0 || 26625 || 1508
|0 || 21500 || 1508
|0 || 20000 || 1508
|0 || 20438 || 1508
|0 || 19625 || 1508
|0 || 19250 || 1508
|0 || 20250 || 1508
|0 || 19688 || 1508
|0 || 20438 || 1508
|0 || 20375 || 1508
|0 || 19875 || 1508
|0 || 31125 || 1508
|0 || 23625 || 1508
|0 || 20063 || 1508
|0 || 19125 || 1508
|0 || 19938 || 1508
|0 || 19188 || 1508
|0 || 20250 || 1508
|0 || 20250 || 1508
|0 || 20125 || 1508
|0 || 19500 || 1508
|0 || 20188 || 1508
|0 || 19625 || 1508
|0 || 19688 || 1508
|0 || 19563 || 1508
|0 || 23688 || 1508
|0 || 21063 || 1508
|0 || 20438 || 1508
|0 || 20063 || 1508
|0 || 19875 || 1508
|0 || 24938 || 1508
|0 || 20438 || 1508
|0 || 19813 || 1508
|0 || 19938 || 1508
|0 || 19000 || 1508
|0 || 19938 || 1508
|0 || 19500 || 1508
|0 || 19063 || 1508
|0 || 19938 || 1508
|0 || 20313 || 1508
|0 || 19750 || 1508
|0 || 19875 || 1508
|0 || 28063 || 1508
|0 || 20938 || 1508
|0 || 20313 || 1508
|0 || 20063 || 1508
|0 || 19625 || 1508
|0 || 19563 || 1508
|0 || 19625 || 1508
|0 || 20438 || 1508
|0 || 19875 || 1508
|0 || 20688 || 1508
|0 || 20438 || 1508
|0 || 23938 || 1508
|0 || 21438 || 1508
|0 || 20313 || 1508
|0 || 20438 || 1508
|0 || 20063 || 1508
|0 || 20438 || 1508
|0 || 21000 || 1508
|0 || 19063 || 1508
|1 || 20688 || 1508
|1 || 20625 || 1508
|1 || 19938 || 1508
|1 || 19875 || 1508
|1 || 19938 || 1508
|1 || 20563 || 1508
|1 || 20188 || 1508
|1 || 20938 || 1508
|1 || 19938 || 1508
|1 || 19563 || 1508
|1 || 19875 || 1508
|1 || 20063 || 1508
|1 || 20000 || 1508
|1 || 20313 || 1508
|1 || 19125 || 1508
|1 || 19188 || 1508
|1 || 26563 || 1508
|1 || 21250 || 1508
|1 || 21250 || 1508
|1 || 39813 || 1508
|1 || 37813 || 1508
|1 || 23250 || 1508
|1 || 21250 || 1508
|1 || 20625 || 1508
|1 || 21125 || 1508
|1 || 20250 || 1508
|1 || 19875 || 1508
|1 || 21688 || 1508
|1 || 20438 || 1508
|1 || 20750 || 1508
|1 || 19875 || 1508
|1 || 19938 || 1508
|1 || 19375 || 1508
|1 || 19563 || 1508
|1 || 20500 || 1508
|1 || 23438 || 1508
|1 || 20813 || 1508
|1 || 21813 || 1508
|1 || 20938 || 1508
|1 || 19875 || 1508
|1 || 20313 || 1508
