| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 190173 || 5368
|0 || 70507 || 5368
|0 || 70490 || 5368
|0 || 70390 || 5368
|0 || 70473 || 5368
|0 || 70457 || 5368
|0 || 70507 || 5368
|0 || 70523 || 5368
|1 || 70673 || 5368
|1 || 70640 || 5368
|1 || 70906 || 5368
|1 || 70773 || 5368
|1 || 70756 || 5368
|1 || 70706 || 5368
|1 || 102909 || 5368
|1 || 70922 || 5368
|2 || 70773 || 5368
|2 || 70756 || 5368
|2 || 70789 || 5368
|2 || 70823 || 5368
|2 || 70806 || 5368
|2 || 70773 || 5368
|2 || 70557 || 5368
|2 || 70789 || 5368
|4 || 70939 || 5368
|4 || 70490 || 5368
|4 || 70557 || 5368
|4 || 70956 || 5368
|4 || 70623 || 5368
|4 || 70656 || 5368
|4 || 70606 || 5368
|4 || 70989 || 5368
|8 || 70490 || 5368
|8 || 70557 || 5368
|8 || 70490 || 5368
|8 || 70856 || 5368
|8 || 70540 || 5368
|8 || 70773 || 5368
|8 || 70590 || 5368
|8 || 70872 || 5368
|16 || 70773 || 5368
|16 || 70573 || 5368
|16 || 100448 || 5368
|16 || 70590 || 5368
|16 || 70723 || 5368
|16 || 70756 || 5368
|16 || 71022 || 5368
|16 || 70823 || 5368
|32 || 70573 || 5368
|32 || 71039 || 5368
|32 || 71039 || 5368
|32 || 70872 || 5368
|32 || 71039 || 5368
|32 || 70739 || 5368
|32 || 70806 || 5368
|32 || 70806 || 5368
|64 || 70623 || 5368
|64 || 70590 || 5368
|64 || 70656 || 5368
|64 || 70623 || 5368
|64 || 70606 || 5368
|64 || 70640 || 5368
|64 || 70606 || 5368
|64 || 70839 || 5368
|128 || 82011 || 5368
|128 || 82028 || 5367
|128 || 82078 || 5368
|128 || 81928 || 5368
|128 || 82078 || 5368
|128 || 82211 || 5368
|128 || 82078 || 5368
|128 || 82078 || 5368
|256 || 101679 || 5368
|256 || 101529 || 5368
|256 || 124771 || 5368
|256 || 101479 || 5368
|256 || 101679 || 5368
|256 || 101579 || 5368
|256 || 101645 || 5368
|256 || 101695 || 5368
|512 || 140714 || 5368
|512 || 140365 || 5368
|512 || 140365 || 5368
|512 || 140431 || 5368
|512 || 140531 || 5368
|512 || 140415 || 5368
|512 || 140398 || 5368
|512 || 140598 || 5368
|576 || 150174 || 5368
|576 || 150473 || 5368
|576 || 210788 || 5368
|576 || 150406 || 5368
|576 || 150556 || 5368
|576 || 150323 || 5368
|576 || 150456 || 5368
|576 || 150323 || 5368
|1024 || 218436 || 5368
|1024 || 218453 || 5368
|1024 || 218320 || 5368
|1024 || 218403 || 5368
|1024 || 218436 || 5368
|1024 || 283340 || 5368
|1024 || 218635 || 5368
|1024 || 218436 || 5368
|1536 || 296291 || 5368
|1536 || 296274 || 5368
|1536 || 296241 || 5368
|1536 || 296191 || 5368
|1536 || 296324 || 5368
|1536 || 296174 || 5368
|1536 || 296208 || 5368
|1536 || 296241 || 5368
|2048 || 373930 || 5368
|2048 || 373996 || 5368
|2048 || 374013 || 5368
|2048 || 373979 || 5368
|2048 || 373930 || 5368
|2048 || 373846 || 5368
|2048 || 439831 || 5368
|2048 || 440147 || 5368
