| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 96035 || 374
|0 || 96037 || 374
|0 || 96035 || 374
|0 || 96036 || 374
|0 || 96035 || 374
|0 || 96035 || 374
|0 || 96037 || 374
|0 || 96035 || 374
|1 || 191427 || 374
|1 || 191426 || 374
|1 || 191427 || 374
|1 || 191427 || 374
|1 || 191427 || 374
|1 || 191426 || 374
|1 || 191426 || 374
|1 || 191427 || 374
|2 || 191401 || 374
|2 || 191402 || 374
|2 || 191403 || 374
|2 || 191403 || 374
|2 || 191402 || 374
|2 || 191402 || 374
|2 || 191401 || 374
|2 || 191401 || 374
|4 || 191386 || 374
|4 || 191386 || 374
|4 || 191388 || 374
|4 || 191386 || 374
|4 || 191387 || 374
|4 || 191386 || 374
|4 || 191387 || 374
|4 || 191386 || 374
|8 || 191356 || 374
|8 || 191357 || 374
|8 || 191357 || 374
|8 || 191357 || 374
|8 || 191356 || 374
|8 || 191356 || 374
|8 || 191356 || 374
|8 || 191356 || 374
|16 || 191297 || 374
|16 || 191297 || 374
|16 || 191298 || 374
|16 || 191296 || 374
|16 || 191296 || 374
|16 || 191296 || 374
|16 || 191297 || 374
|16 || 191296 || 374
|32 || 191176 || 374
|32 || 191177 || 374
|32 || 191176 || 374
|32 || 191177 || 374
|32 || 191175 || 374
|32 || 191177 || 374
|32 || 191176 || 374
|32 || 191176 || 374
|64 || 190736 || 382
|64 || 190736 || 382
|64 || 190738 || 382
|64 || 190736 || 382
|64 || 190736 || 382
|64 || 190736 || 382
|64 || 190737 || 382
|64 || 190736 || 382
|128 || 285437 || 382
|128 || 285437 || 382
|128 || 285438 || 382
|128 || 285437 || 382
|128 || 285438 || 382
|128 || 285438 || 382
|128 || 285438 || 382
|128 || 285437 || 382
|256 || 474840 || 382
|256 || 474839 || 382
|256 || 474838 || 382
|256 || 474839 || 382
|256 || 474840 || 382
|256 || 474839 || 382
|256 || 474839 || 382
|256 || 474839 || 382
|512 || 853644 || 382
|512 || 853644 || 382
|512 || 853642 || 382
|512 || 853643 || 382
|512 || 853643 || 382
|512 || 853643 || 382
|512 || 853644 || 382
|512 || 853644 || 382
|576 || 948344 || 382
|576 || 948345 || 382
|576 || 948344 || 382
|576 || 948344 || 382
|576 || 948345 || 382
|576 || 948343 || 382
|576 || 948344 || 382
|576 || 948344 || 382
|1024 || 1611252 || 382
|1024 || 1611252 || 382
|1024 || 1611252 || 382
|1024 || 1611251 || 382
|1024 || 1611251 || 382
|1024 || 1611251 || 382
|1024 || 1611251 || 382
|1024 || 1611252 || 382
|1536 || 2368859 || 382
|1536 || 2368857 || 382
|1536 || 2368859 || 382
|1536 || 2368859 || 382
|1536 || 2368859 || 382
|1536 || 2368859 || 382
|1536 || 2368860 || 382
|1536 || 2368859 || 382
|2048 || 3126467 || 382
|2048 || 3126467 || 382
|2048 || 3126467 || 382
|2048 || 3126467 || 382
|2048 || 3126466 || 382
|2048 || 3126467 || 382
|2048 || 3126467 || 382
|2048 || 3126467 || 382
