| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 40635 || 968
|0 || 27439 || 968
|0 || 27506 || 968
|0 || 27428 || 968
|0 || 27922 || 968
|0 || 27551 || 968
|0 || 27799 || 968
|0 || 27450 || 968
|1 || 28305 || 968
|1 || 28148 || 968
|1 || 28125 || 968
|1 || 28102 || 968
|1 || 28328 || 968
|1 || 28507 || 968
|1 || 28474 || 968
|1 || 28373 || 968
|2 || 28350 || 968
|2 || 28035 || 968
|2 || 28013 || 968
|2 || 28598 || 968
|2 || 28148 || 968
|2 || 28586 || 968
|2 || 28418 || 968
|2 || 28170 || 968
|4 || 28429 || 968
|4 || 28350 || 968
|4 || 28429 || 968
|4 || 28091 || 968
|4 || 28114 || 968
|4 || 28620 || 968
|4 || 28541 || 968
|4 || 28226 || 968
|8 || 28271 || 968
|8 || 28238 || 968
|8 || 28440 || 968
|8 || 28316 || 968
|8 || 27911 || 968
|8 || 28159 || 968
|8 || 28035 || 968
|8 || 28395 || 968
|16 || 28114 || 968
|16 || 28102 || 968
|16 || 28249 || 968
|16 || 28541 || 968
|16 || 28136 || 968
|16 || 28215 || 968
|16 || 28125 || 968
|16 || 28058 || 968
|32 || 28598 || 968
|32 || 28384 || 968
|32 || 28249 || 968
|32 || 28091 || 968
|32 || 28406 || 968
|32 || 28339 || 968
|32 || 28283 || 968
|32 || 28406 || 968
|64 || 28328 || 968
|64 || 28530 || 968
|64 || 28643 || 968
|64 || 28395 || 968
|64 || 28114 || 968
|64 || 28271 || 968
|64 || 28507 || 968
|64 || 28046 || 968
|128 || 28598 || 968
|128 || 28395 || 968
|128 || 28102 || 968
|128 || 28710 || 968
|128 || 28755 || 968
|128 || 28305 || 968
|128 || 28035 || 968
|128 || 28102 || 968
|256 || 44865 || 968
|256 || 45068 || 968
|256 || 45045 || 968
|256 || 44708 || 968
|256 || 44685 || 968
|256 || 44573 || 968
|256 || 44685 || 968
|256 || 44606 || 968
|512 || 74340 || 968
|512 || 74408 || 968
|512 || 74351 || 968
|512 || 74306 || 968
|512 || 73744 || 968
|512 || 73901 || 968
|512 || 73868 || 968
|512 || 74036 || 968
|576 || 88459 || 968
|576 || 89438 || 968
|576 || 88594 || 968
|576 || 88504 || 968
|576 || 106853 || 968
|576 || 88965 || 968
|576 || 88526 || 968
|576 || 88560 || 968
|1024 || 133009 || 968
|1024 || 132930 || 968
|1024 || 133144 || 968
|1024 || 132638 || 968
|1024 || 132975 || 968
|1024 || 133189 || 968
|1024 || 133054 || 968
|1024 || 132863 || 968
|1536 || 191801 || 968
|1536 || 191464 || 968
|1536 || 191340 || 968
|1536 || 191610 || 968
|1536 || 204975 || 968
|1536 || 191363 || 968
|1536 || 192364 || 968
|1536 || 191666 || 968
|2048 || 250369 || 968
|2048 || 250144 || 968
|2048 || 250729 || 968
|2048 || 250391 || 968
|2048 || 250088 || 968
|2048 || 250267 || 968
|2048 || 250020 || 968
|2048 || 250571 || 968
