| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 106358 || 648
|0 || 58286 || 648
|0 || 58646 || 648
|0 || 58736 || 648
|0 || 58039 || 648
|0 || 58444 || 648
|0 || 57983 || 648
|0 || 57960 || 648
|1 || 88268 || 664
|1 || 87671 || 664
|1 || 87503 || 664
|1 || 87413 || 664
|1 || 87638 || 664
|1 || 87570 || 664
|1 || 87615 || 664
|1 || 87435 || 664
|2 || 87964 || 664
|2 || 87671 || 664
|2 || 87638 || 664
|2 || 88234 || 664
|2 || 88312 || 664
|2 || 88414 || 664
|2 || 88358 || 664
|2 || 87401 || 664
|4 || 86985 || 648
|4 || 87075 || 648
|4 || 86873 || 648
|4 || 86918 || 648
|4 || 87154 || 648
|4 || 87053 || 648
|4 || 86996 || 648
|4 || 86963 || 648
|8 || 87739 || 648
|8 || 87176 || 648
|8 || 86918 || 648
|8 || 87863 || 648
|8 || 88009 || 648
|8 || 87401 || 648
|8 || 87323 || 648
|8 || 87143 || 648
|16 || 87525 || 648
|16 || 87041 || 648
|16 || 87075 || 648
|16 || 86996 || 648
|16 || 87019 || 648
|16 || 87233 || 648
|16 || 87413 || 648
|16 || 87244 || 648
|32 || 87761 || 648
|32 || 87840 || 648
|32 || 87851 || 648
|32 || 87919 || 648
|32 || 87143 || 648
|32 || 87176 || 648
|32 || 87098 || 648
|32 || 87109 || 648
|64 || 102803 || 648
|64 || 102600 || 648
|64 || 102263 || 648
|64 || 102510 || 648
|64 || 102296 || 648
|64 || 102465 || 648
|64 || 103230 || 648
|64 || 102274 || 648
|128 || 132278 || 648
|128 || 131850 || 648
|128 || 160313 || 648
|128 || 131873 || 648
|128 || 131479 || 648
|128 || 132154 || 648
|128 || 132514 || 648
|128 || 132120 || 648
|256 || 189743 || 648
|256 || 189529 || 648
|256 || 189518 || 648
|256 || 190148 || 648
|256 || 189563 || 648
|256 || 189585 || 648
|256 || 189619 || 648
|256 || 189608 || 648
|512 || 305786 || 648
|512 || 339784 || 648
|512 || 305370 || 648
|512 || 341033 || 648
|512 || 304999 || 648
|512 || 305550 || 648
|512 || 340459 || 648
|512 || 305213 || 648
|576 || 356108 || 648
|576 || 333889 || 648
|576 || 432990 || 648
|576 || 348705 || 648
|576 || 369495 || 648
|576 || 334361 || 648
|576 || 334665 || 648
|576 || 334609 || 648
|1024 || 536445 || 648
|1024 || 571523 || 648
|1024 || 536659 || 648
|1024 || 536445 || 648
|1024 || 536524 || 648
|1024 || 536040 || 648
|1024 || 571410 || 648
|1024 || 536051 || 648
|1536 || 803363 || 648
|1536 || 767813 || 648
|1536 || 767633 || 648
|1536 || 802474 || 648
|1536 || 767059 || 648
|1536 || 767486 || 648
|1536 || 802890 || 648
|1536 || 803599 || 648
|2048 || 998775 || 648
|2048 || 1038308 || 648
|2048 || 1034528 || 648
|2048 || 1033166 || 648
|2048 || 998505 || 648
|2048 || 998089 || 648
|2048 || 998978 || 648
|2048 || 1033886 || 648
