| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_lpc1114-evb_0hash_empty empty] || 127 || 16 || 2 || 0 || 0 || 0 || 0 || 0.8 || [wiki:r2011measureDetailsPage_315_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_lpc1114-evb_blake256_sphlib sphlib] || 8837 || 1120 || 249 || 127 || 118 || 114 || 109 || 0.3 || [wiki:r2011measureDetailsPage_315_blake256_sphlib Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_lpc1114-evb_blake512_sphlib-small sphlib-small] || 33664 || 4222 || 526 || 310 || 276 || 260 || 243 || 0.0 || [wiki:r2011measureDetailsPage_315_blake512_sphlib-small Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_lpc1114-evb_groestl256_sphlib-small sphlib-small] || 79076 || 9898 || 2045 || 960 || 882 || 844 || 805 || 0.0 || [wiki:r2011measureDetailsPage_315_groestl256_sphlib-small Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_lpc1114-evb_groestl512_sphlib-small sphlib-small] || 272464 || 34073 || 4257 || 1970 || 1704 || 1571 || 1437 || 0.0 || [wiki:r2011measureDetailsPage_315_groestl512_sphlib-small Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_lpc1114-evb_jh256_sphlib sphlib] || 45646 || 11094 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2011measureDetailsPage_315_jh256_sphlib Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_lpc1114-evb_jh512_sphlib sphlib] || 45669 || 11097 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2011measureDetailsPage_315_jh512_sphlib Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_lpc1114-evb_keccakc1024_opt32bi-rvku2 opt32bi-rvku2] || 29369 || 3700 || 463 || 419 || 389 || 375 || 360 || 0.0 || [wiki:r2011measureDetailsPage_315_keccakc1024_opt32bi-rvku2 Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_lpc1114-evb_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 31686 || 3990 || 499 || 224 || 219 || 216 || 213 || 0.0 || [wiki:r2011measureDetailsPage_315_keccakc512_opt32bi-rvku2 Details]
|[wiki:r2011ciphers_round3jh256 round3jh256] || [wiki:r2011platformsimplementations_lpc1114-evb_round3jh256_sphlib sphlib] || 45645 || 11094 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2011measureDetailsPage_315_round3jh256_sphlib Details]
|[wiki:r2011ciphers_round3jh512 round3jh512] || [wiki:r2011platformsimplementations_lpc1114-evb_round3jh512_sphlib sphlib] || 45668 || 11097 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2011measureDetailsPage_315_round3jh512_sphlib Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_lpc1114-evb_sha1_avrcryptolib avrcryptolib] || 35220 || 4413 || 1085 || 604 || 570 || 553 || 535 || 0.4 || [wiki:r2011measureDetailsPage_315_sha1_avrcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_lpc1114-evb_sha256_sphlib-small sphlib-small] || 9034 || 1150 || 267 || 144 || 135 || 131 || 126 || 0.0 || [wiki:r2011measureDetailsPage_315_sha256_sphlib-small Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_lpc1114-evb_sha512_sphlib sphlib] || 31514 || 3960 || 495 || 299 || 268 || 252 || 237 || 0.0 || [wiki:r2011measureDetailsPage_315_sha512_sphlib Details]
|[wiki:r2011ciphers_skein512256 skein512256] || [wiki:r2011platformsimplementations_lpc1114-evb_skein512256_sphlib-small sphlib-small] || 30356 || 3808 || 475 || 259 || 244 || 236 || 228 || 0.0 || [wiki:r2011measureDetailsPage_315_skein512256_sphlib-small Details]
|[wiki:r2011ciphers_skein512512 skein512512] || [wiki:r2011platformsimplementations_lpc1114-evb_skein512512_sphlib-small sphlib-small] || 30486 || 3825 || 477 || 260 || 244 || 236 || 228 || 0.0 || [wiki:r2011measureDetailsPage_315_skein512512_sphlib-small Details]
