| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_atmega1284p_16mhz_0hash ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || 72 || 0 || 0 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_skein256256 <-] skein256256 [wiki:r2011platformsciphers_atmega1284p_16mhz_skein256256 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_skein256256_avrcryptolib_asm avrcryptolib_asm] || 1929239 || 2422 || 266 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_blake256 <-] blake256 [wiki:r2011platformsciphers_atmega1284p_16mhz_blake256 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_avrcryptolib avrcryptolib] || 2485239 || 3434 || 267 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_keccakc512 <-] keccakc512 [wiki:r2011platformsciphers_atmega1284p_16mhz_keccakc512 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_keccakc512_avr8asm avr8asm] || 1713247 || 1848 || 276 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_keccakc1024 <-] keccakc1024 [wiki:r2011platformsciphers_atmega1284p_16mhz_keccakc1024 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_keccakc1024_avr8asm avr8asm] || 3130624 || 1848 || 308 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_sha256 <-] sha256 [wiki:r2011platformsciphers_atmega1284p_16mhz_sha256 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_sha256_sphlib sphlib] || 4251801 || 77720 || 359 || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_groestl256 <-] groestl256 [wiki:r2011platformsciphers_atmega1284p_16mhz_groestl256 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_groestl256_avrcryptolib avrcryptolib] || 30749454 || 3528 || 368 || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_jh256 <-] jh256 [wiki:r2011platformsciphers_atmega1284p_16mhz_jh256 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_jh256_avrcryptolib-speed avrcryptolib-speed] || 14117530 || 4950 || 388 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_jh512 <-] jh512 [wiki:r2011platformsciphers_atmega1284p_16mhz_jh512 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_jh512_avrcryptolib-speed avrcryptolib-speed] || 14117786 || 4950 || 420 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
|[wiki:r2011ciphers_skein512512 <-] skein512512 [wiki:r2011platformsciphers_atmega1284p_16mhz_skein512512 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_skein512512_avrcryptolib_asm avrcryptolib_asm] || 2405666 || 2524 || 427 || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
