| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 84037875 || 3761406 || 4736 (25032) || 288 (1152) || 0 (2416) || 241(249) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 84037875 || 3761406 || 4736 (25032) || 288 (1152) || 0 (2416) || 241(249) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 84037807 || 3761403 || 4736 (25032) || 288 (1152) || 0 (2416) || 241(249) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 84037794 || 3761402 || 4736 (25032) || 288 (1152) || 0 (2416) || 241(249) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 28551085 || 2436316 || 3190 (12676) || 288 (896) || 0 (2416) || 258(258) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 28551083 || 2436316 || 3190 (12676) || 288 (896) || 0 (2416) || 258(258) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 28551062 || 2436314 || 3190 (12676) || 288 (896) || 0 (2416) || 258(258) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 28551057 || 2436314 || 3190 (12676) || 288 (896) || 0 (2416) || 258(258) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 27766291 || 2430331 || 3390 (11948) || 288 (896) || 0 (2416) || 269(269) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 27766290 || 2430331 || 3390 (11948) || 288 (896) || 0 (2416) || 269(269) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 27766268 || 2430329 || 3390 (11948) || 288 (896) || 0 (2416) || 269(269) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 27766263 || 2430329 || 3390 (11948) || 288 (896) || 0 (2416) || 269(269) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 27394821 || 2375647 || 23698 (32850) || 256 (864) || 0 (2416) || 267(267) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 27394820 || 2375647 || 23698 (32850) || 256 (864) || 0 (2416) || 267(267) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 27394798 || 2375646 || 23698 (32850) || 256 (864) || 0 (2416) || 267(267) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 27394794 || 2375645 || 23698 (32850) || 256 (864) || 0 (2416) || 267(267) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 28221568 || 2457807 || 3228 (11214) || 288 (896) || 0 (2416) || 265(265) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 28221568 || 2457807 || 3228 (11214) || 288 (896) || 0 (2416) || 265(265) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 28221545 || 2457805 || 3228 (11214) || 288 (896) || 0 (2416) || 265(265) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 28221540 || 2457804 || 3228 (11214) || 288 (896) || 0 (2416) || 265(265) || Checksum OK || [wiki:r2012runs_322 Run 322]
