| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 160075980 || 7882657 || 32502 (52798) || 1472 (2336) || 32 (2448) || 859(867) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 160075847 || 7882651 || 32502 (52798) || 1472 (2336) || 32 (2448) || 859(867) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 160075826 || 7882649 || 32502 (52798) || 1472 (2336) || 32 (2448) || 859(867) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 76614341 || 5016589 || 24286 (33772) || 1472 (2080) || 32 (2448) || 779(779) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 76614277 || 5016585 || 24286 (33772) || 1472 (2080) || 32 (2448) || 779(779) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 76614267 || 5016583 || 24286 (33772) || 1472 (2080) || 32 (2448) || 779(779) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 74378894 || 4905416 || 24164 (32722) || 1472 (2080) || 32 (2448) || 839(839) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 74378831 || 4905412 || 24164 (32722) || 1472 (2080) || 32 (2448) || 839(839) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 74378822 || 4905411 || 24164 (32722) || 1472 (2080) || 32 (2448) || 839(839) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 74360060 || 4905270 || 24850 (34002) || 1472 (2080) || 32 (2448) || 839(839) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 74359997 || 4905266 || 24850 (34002) || 1472 (2080) || 32 (2448) || 839(839) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 74359987 || 4905265 || 24850 (34002) || 1472 (2080) || 32 (2448) || 839(839) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 74069041 || 4880599 || 21526 (29512) || 1472 (2080) || 32 (2448) || 821(821) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 74068977 || 4880595 || 21526 (29512) || 1472 (2080) || 32 (2448) || 821(821) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 74068966 || 4880594 || 21526 (29512) || 1472 (2080) || 32 (2448) || 821(821) || Checksum OK || [wiki:r2012runs_322 Run 322]
