| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 299279022 || 26005021 || 6374 (26670) || 250 (1114) || 32 (2448) || 502(510) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 299279016 || 26005020 || 6374 (26670) || 250 (1114) || 32 (2448) || 502(510) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 180366248 || 18105250 || 4018 (13504) || 250 (858) || 32 (2448) || 355(355) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 180366244 || 18105249 || 4018 (13504) || 250 (858) || 32 (2448) || 355(355) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 183042267 || 18454252 || 3926 (12484) || 250 (858) || 32 (2448) || 361(361) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 183042265 || 18454250 || 3926 (12484) || 250 (858) || 32 (2448) || 361(361) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 213235960 || 21571804 || 8868 (18020) || 250 (858) || 32 (2448) || 443(443) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 213235957 || 21571804 || 8868 (18020) || 250 (858) || 32 (2448) || 443(443) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 176313358 || 17740591 || 3262 (11248) || 250 (858) || 32 (2448) || 354(354) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 176313357 || 17740590 || 3262 (11248) || 250 (858) || 32 (2448) || 354(354) || Checksum OK || [wiki:r2012runs_302 Run 302]
