| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 225649767 || 18398417 || 74806 (95102) || 192 (1056) || 32 (2448) || 1461(1469) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 225649761 || 18398417 || 74806 (95102) || 192 (1056) || 32 (2448) || 1461(1469) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 188188048 || 18915264 || 81212 (90698) || 192 (800) || 32 (2448) || 1675(1675) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 188188044 || 18915263 || 81212 (90698) || 192 (800) || 32 (2448) || 1675(1675) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 195693739 || 19763612 || 89644 (98202) || 192 (800) || 32 (2448) || 1465(1465) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 195693737 || 19763611 || 89644 (98202) || 192 (800) || 32 (2448) || 1465(1465) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 195693740 || 19763611 || 89644 (98796) || 192 (800) || 32 (2448) || 1465(1465) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 195693735 || 19763611 || 89644 (98796) || 192 (800) || 32 (2448) || 1465(1465) || Checksum OK || [wiki:r2012runs_302 Run 302]
|20120117 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 199582873 || 20147691 || 94890 (102876) || 192 (800) || 32 (2448) || 1463(1463) || Checksum OK || [wiki:r2012runs_301 Run 301]
|20120120 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 199582872 || 20147690 || 94890 (102876) || 192 (800) || 32 (2448) || 1463(1463) || Checksum OK || [wiki:r2012runs_302 Run 302]
