| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 68044632 || 1711060 || 1406 (21702) || 0 (864) || 0 (2416) || 13017(13025) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 68044624 || 1711060 || 1406 (21702) || 0 (864) || 0 (2416) || 13017(13025) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 25442547 || 1711069 || 1482 (10968) || 0 (608) || 0 (2416) || 13317(13317) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 25442544 || 1711069 || 1482 (10968) || 0 (608) || 0 (2416) || 13317(13317) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 24731766 || 1711059 || 1482 (10040) || 0 (608) || 0 (2416) || 13321(13321) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 24731764 || 1711059 || 1482 (10040) || 0 (608) || 0 (2416) || 13321(13321) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 24731767 || 1711059 || 1482 (10634) || 0 (608) || 0 (2416) || 13315(13315) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 24731764 || 1711059 || 1482 (10634) || 0 (608) || 0 (2416) || 13315(13315) || Checksum OK || [wiki:r2012runs_322 Run 322]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 24903903 || 1711059 || 1482 (9468) || 0 (608) || 0 (2416) || 13320(13320) || Checksum OK || [wiki:r2012runs_321 Run 321]
|20120429 || clix || [wiki:r2012compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 24903900 || 1711059 || 1482 (9468) || 0 (608) || 0 (2416) || 13321(13321) || Checksum OK || [wiki:r2012runs_322 Run 322]
