| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120122 || clix || [wiki:r2012compilernames mips-uclib-gcc -O0] || 4.2.1 || 1086664260 || 58638087 || 9168 (52623) || 80 (1048) || 32 (2876) || 1480(1528) || Checksum OK || [wiki:r2012runs_309 Run 309]
|20120123 || clix || [wiki:r2012compilernames mips-uclib-gcc -O0] || 4.2.1 || 1084554556 || 58594031 || 9168 (52623) || 80 (1048) || 32 (2876) || 1480(1528) || Checksum OK || [wiki:r2012runs_311 Run 311]
|20120122 || clix || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || 344937303 || 18633634 || 4760 (38918) || 80 (1044) || 32 (2876) || 1224(1280) || Checksum OK || [wiki:r2012runs_309 Run 309]
|20120123 || clix || [wiki:r2012compilernames mips-uclib-gcc -O1] || 4.2.1 || 345541993 || 18639650 || 4760 (38918) || 80 (1044) || 32 (2876) || 1224(1280) || Checksum OK || [wiki:r2012runs_311 Run 311]
|20120122 || clix || [wiki:r2012compilernames mips-uclib-gcc -O2] || 4.2.1 || 304895061 || 16483504 || 4712 (36966) || 80 (1044) || 32 (2876) || 1232(1288) || Checksum OK || [wiki:r2012runs_309 Run 309]
|20120123 || clix || [wiki:r2012compilernames mips-uclib-gcc -O2] || 4.2.1 || 304692018 || 16464715 || 4712 (36966) || 80 (1044) || 32 (2876) || 1232(1288) || Checksum OK || [wiki:r2012runs_311 Run 311]
|20120122 || clix || [wiki:r2012compilernames mips-uclib-gcc -O3] || 4.2.1 || 301959060 || 16316938 || 4817 (37232) || 80 (1044) || 32 (2872) || 1240(1296) || Checksum OK || [wiki:r2012runs_309 Run 309]
|20120123 || clix || [wiki:r2012compilernames mips-uclib-gcc -O3] || 4.2.1 || 301659411 || 16305702 || 4817 (37232) || 80 (1044) || 32 (2872) || 1240(1296) || Checksum OK || [wiki:r2012runs_311 Run 311]
|20120122 || clix || [wiki:r2012compilernames mips-uclib-gcc -Os] || 4.2.1 || 305887950 || 16494051 || 4144 (36383) || 80 (1044) || 32 (2876) || 1224(1280) || Checksum OK || [wiki:r2012runs_309 Run 309]
|20120123 || clix || [wiki:r2012compilernames mips-uclib-gcc -Os] || 4.2.1 || 305781274 || 16502226 || 4144 (36383) || 80 (1044) || 32 (2876) || 1224(1280) || Checksum OK || [wiki:r2012runs_311 Run 311]
