| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20120122 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 8150817 || 474986 || 12448 (55903) || 36 (1004) || 32 (2876) || 1624(1672) || Checksum OK || [wiki:r2011runs_309 Run 309]
|20120123 || clix || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 8152434 || 474880 || 12448 (55903) || 36 (1004) || 32 (2876) || 1624(1672) || Checksum OK || [wiki:r2011runs_311 Run 311]
|20120122 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2981422 || 248384 || 7952 (42110) || 32 (996) || 32 (2876) || 1456(1512) || Checksum OK || [wiki:r2011runs_309 Run 309]
|20120123 || clix || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 3161490 || 248411 || 7952 (42110) || 32 (996) || 32 (2876) || 1456(1512) || Checksum OK || [wiki:r2011runs_311 Run 311]
|20120122 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 3324823 || 260257 || 8240 (40494) || 32 (996) || 32 (2876) || 1624(1680) || Checksum OK || [wiki:r2011runs_309 Run 309]
|20120123 || clix || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 3258255 || 260495 || 8240 (40494) || 32 (996) || 32 (2876) || 1624(1680) || Checksum OK || [wiki:r2011runs_311 Run 311]
|20120122 || clix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 3475939 || 278038 || 11738 (44153) || 32 (996) || 32 (2872) || 2152(2208) || Checksum OK || [wiki:r2011runs_309 Run 309]
|20120123 || clix || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 3401195 || 278065 || 11738 (44153) || 32 (996) || 32 (2872) || 2152(2208) || Checksum OK || [wiki:r2011runs_311 Run 311]
|20120122 || clix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 3535590 || 265649 || 8096 (40335) || 32 (996) || 32 (2876) || 1624(1680) || Checksum OK || [wiki:r2011runs_309 Run 309]
|20120123 || clix || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 3378551 || 265636 || 8096 (40335) || 32 (996) || 32 (2876) || 1624(1680) || Checksum OK || [wiki:r2011runs_311 Run 311]
